128, 2032, 15.88
256, 2858, 11.16
512, 3822, 7.46
1024, 5692, 5.56
2048, 9340, 4.56
4096, 16644, 4.06
8192, 31266, 3.82
16384, 60474, 3.69
128, 2028, 15.84
256, 2854, 11.15
512, 3828, 7.48
1024, 5692, 5.56
2048, 9344, 4.56
4096, 16648, 4.06
8192, 31268, 3.82
16384, 60470, 3.69
128, 2026, 15.83
256, 2852, 11.14
512, 3826, 7.47
1024, 5694, 5.56
2048, 9338, 4.56
4096, 16648, 4.06
8192, 31264, 3.82
16384, 60478, 3.69
128, 2030, 15.86
256, 2852, 11.14
512, 3826, 7.47
1024, 5688, 5.55
2048, 9340, 4.56
4096, 16652, 4.07
8192, 31264, 3.82
16384, 60472, 3.69
128, 2030, 15.86
256, 2858, 11.16
512, 3830, 7.48
1024, 5692, 5.56
2048, 9340, 4.56
4096, 16650, 4.06
8192, 31260, 3.82
16384, 60466, 3.69
128, 2034, 15.89
256, 2860, 11.17
512, 3824, 7.47
1024, 5690, 5.56
2048, 9340, 4.56
4096, 16646, 4.06
8192, 31270, 3.82
16384, 60456, 3.69
128, 2032, 15.88
256, 2854, 11.15
512, 3826, 7.47
1024, 5690, 5.56
2048, 9342, 4.56
4096, 16656, 4.07
8192, 31268, 3.82
16384, 60478, 3.69
128, 2032, 15.88
256, 2856, 11.16
512, 3826, 7.47
1024, 5694, 5.56
2048, 9346, 4.56
4096, 16650, 4.06
8192, 31264, 3.82
16384, 60470, 3.69
128, 2032, 15.88
256, 2858, 11.16
512, 3830, 7.48
1024, 5692, 5.56
2048, 9346, 4.56
4096, 16648, 4.06
8192, 31260, 3.82
16384, 60480, 3.69
128, 2026, 15.83
256, 2856, 11.16
512, 3826, 7.47
1024, 5690, 5.56
2048, 9346, 4.56
4096, 16646, 4.06
8192, 31266, 3.82
16384, 60478, 3.69
128, 2034, 15.89
256, 2860, 11.17
512, 3820, 7.46
1024, 5692, 5.56
2048, 9340, 4.56
4096, 16648, 4.06
8192, 31264, 3.82
16384, 60466, 3.69
