128, 1668, 13.03
256, 2564, 10.02
512, 4334, 8.46
1024, 7868, 7.68
2048, 14976, 7.31
4096, 29102, 7.10
8192, 57372, 7.00
16384, 113904, 6.95
128, 1666, 13.02
256, 2560, 10.00
512, 4332, 8.46
1024, 7872, 7.69
2048, 14962, 7.31
4096, 29120, 7.11
8192, 57374, 7.00
16384, 113916, 6.95
128, 1670, 13.05
256, 2566, 10.02
512, 4334, 8.46
1024, 7874, 7.69
2048, 14968, 7.31
4096, 29110, 7.11
8192, 57374, 7.00
16384, 113892, 6.95
128, 1670, 13.05
256, 2562, 10.01
512, 4340, 8.48
1024, 7866, 7.68
2048, 14980, 7.31
4096, 29100, 7.10
8192, 57372, 7.00
16384, 113890, 6.95
128, 1668, 13.03
256, 2566, 10.02
512, 4338, 8.47
1024, 7862, 7.68
2048, 14972, 7.31
4096, 29112, 7.11
8192, 57354, 7.00
16384, 113894, 6.95
128, 1672, 13.06
256, 2566, 10.02
512, 4336, 8.47
1024, 7866, 7.68
2048, 14964, 7.31
4096, 29104, 7.11
8192, 57374, 7.00
16384, 113888, 6.95
128, 1666, 13.02
256, 2564, 10.02
512, 4334, 8.46
1024, 7872, 7.69
2048, 14972, 7.31
4096, 29106, 7.11
8192, 57358, 7.00
16384, 113874, 6.95
128, 1666, 13.02
256, 2560, 10.00
512, 4336, 8.47
1024, 7868, 7.68
2048, 14968, 7.31
4096, 29094, 7.10
8192, 57356, 7.00
16384, 113874, 6.95
128, 1664, 13.00
256, 2562, 10.01
512, 4334, 8.46
1024, 7874, 7.69
2048, 14964, 7.31
4096, 29090, 7.10
8192, 57382, 7.00
16384, 113900, 6.95
128, 1664, 13.00
256, 2562, 10.01
512, 4334, 8.46
1024, 7868, 7.68
2048, 14966, 7.31
4096, 29094, 7.10
8192, 57350, 7.00
16384, 113880, 6.95
128, 1664, 13.00
256, 2568, 10.03
512, 4338, 8.47
1024, 7866, 7.68
2048, 14972, 7.31
4096, 29102, 7.10
8192, 57364, 7.00
16384, 113882, 6.95
