128, 264, 2.06
256, 484, 1.89
512, 424, 0.83
1024, 802, 0.78
2048, 1538, 0.75
4096, 3036, 0.74
8192, 6024, 0.74
16384, 12000, 0.73
128, 262, 2.05
256, 486, 1.90
512, 422, 0.82
1024, 800, 0.78
2048, 1548, 0.76
4096, 3044, 0.74
8192, 6034, 0.74
16384, 11996, 0.73
128, 258, 2.02
256, 488, 1.91
512, 430, 0.84
1024, 798, 0.78
2048, 1546, 0.75
4096, 3032, 0.74
8192, 6022, 0.74
16384, 11978, 0.73
128, 260, 2.03
256, 496, 1.94
512, 430, 0.84
1024, 800, 0.78
2048, 1546, 0.75
4096, 3036, 0.74
8192, 6020, 0.73
16384, 12006, 0.73
128, 258, 2.02
256, 482, 1.88
512, 420, 0.82
1024, 796, 0.78
2048, 1532, 0.75
4096, 3032, 0.74
8192, 6022, 0.74
16384, 11984, 0.73
128, 260, 2.03
256, 486, 1.90
512, 426, 0.83
1024, 800, 0.78
2048, 1550, 0.76
4096, 3042, 0.74
8192, 6022, 0.74
16384, 11974, 0.73
128, 260, 2.03
256, 486, 1.90
512, 430, 0.84
1024, 800, 0.78
2048, 1542, 0.75
4096, 3044, 0.74
8192, 6036, 0.74
16384, 12004, 0.73
128, 264, 2.06
256, 488, 1.91
512, 428, 0.84
1024, 798, 0.78
2048, 1538, 0.75
4096, 3034, 0.74
8192, 6022, 0.74
16384, 11998, 0.73
128, 264, 2.06
256, 484, 1.89
512, 426, 0.83
1024, 800, 0.78
2048, 1544, 0.75
4096, 3044, 0.74
8192, 6026, 0.74
16384, 11986, 0.73
128, 258, 2.02
256, 488, 1.91
512, 424, 0.83
1024, 808, 0.79
2048, 1544, 0.75
4096, 3046, 0.74
8192, 6018, 0.73
16384, 11986, 0.73
128, 258, 2.02
256, 484, 1.89
512, 434, 0.85
1024, 802, 0.78
2048, 1546, 0.75
4096, 3040, 0.74
8192, 6022, 0.74
16384, 12012, 0.73
