128, 268, 2.09
256, 490, 1.91
512, 430, 0.84
1024, 804, 0.79
2048, 1544, 0.75
4096, 3044, 0.74
8192, 6020, 0.73
16384, 12002, 0.73
128, 268, 2.09
256, 486, 1.90
512, 430, 0.84
1024, 804, 0.79
2048, 1548, 0.76
4096, 3046, 0.74
8192, 6028, 0.74
16384, 12004, 0.73
128, 274, 2.14
256, 488, 1.91
512, 434, 0.85
1024, 800, 0.78
2048, 1546, 0.75
4096, 3038, 0.74
8192, 6026, 0.74
16384, 12004, 0.73
128, 270, 2.11
256, 488, 1.91
512, 430, 0.84
1024, 804, 0.79
2048, 1546, 0.75
4096, 3038, 0.74
8192, 6024, 0.74
16384, 12010, 0.73
128, 266, 2.08
256, 490, 1.91
512, 434, 0.85
1024, 802, 0.78
2048, 1544, 0.75
4096, 3038, 0.74
8192, 6022, 0.74
16384, 12010, 0.73
128, 268, 2.09
256, 496, 1.94
512, 432, 0.84
1024, 806, 0.79
2048, 1546, 0.75
4096, 3040, 0.74
8192, 6024, 0.74
16384, 12006, 0.73
128, 274, 2.14
256, 488, 1.91
512, 432, 0.84
1024, 804, 0.79
2048, 1548, 0.76
4096, 3042, 0.74
8192, 6026, 0.74
16384, 12004, 0.73
128, 268, 2.09
256, 488, 1.91
512, 432, 0.84
1024, 800, 0.78
2048, 1550, 0.76
4096, 3042, 0.74
8192, 6026, 0.74
16384, 12002, 0.73
128, 268, 2.09
256, 490, 1.91
512, 432, 0.84
1024, 802, 0.78
2048, 1548, 0.76
4096, 3040, 0.74
8192, 6030, 0.74
16384, 12006, 0.73
128, 268, 2.09
256, 482, 1.88
512, 434, 0.85
1024, 808, 0.79
2048, 1546, 0.75
4096, 3046, 0.74
8192, 6030, 0.74
16384, 12010, 0.73
128, 270, 2.11
256, 488, 1.91
512, 430, 0.84
1024, 802, 0.78
2048, 1544, 0.75
4096, 3042, 0.74
8192, 6024, 0.74
16384, 12004, 0.73
