128, 478, 3.73
256, 434, 1.70
512, 806, 1.57
1024, 1554, 1.52
2048, 3042, 1.49
4096, 6022, 1.47
8192, 11980, 1.46
16384, 23940, 1.46
128, 478, 3.73
256, 430, 1.68
512, 806, 1.57
1024, 1550, 1.51
2048, 3044, 1.49
4096, 6014, 1.47
8192, 11976, 1.46
16384, 23928, 1.46
128, 476, 3.72
256, 436, 1.70
512, 802, 1.57
1024, 1550, 1.51
2048, 3046, 1.49
4096, 6016, 1.47
8192, 11984, 1.46
16384, 23928, 1.46
128, 478, 3.73
256, 428, 1.67
512, 802, 1.57
1024, 1556, 1.52
2048, 3040, 1.48
4096, 6020, 1.47
8192, 11986, 1.46
16384, 23922, 1.46
128, 478, 3.73
256, 436, 1.70
512, 802, 1.57
1024, 1552, 1.52
2048, 3044, 1.49
4096, 6010, 1.47
8192, 11970, 1.46
16384, 23912, 1.46
128, 478, 3.73
256, 438, 1.71
512, 808, 1.58
1024, 1558, 1.52
2048, 3050, 1.49
4096, 6026, 1.47
8192, 11980, 1.46
16384, 23916, 1.46
128, 476, 3.72
256, 430, 1.68
512, 810, 1.58
1024, 1560, 1.52
2048, 3048, 1.49
4096, 6022, 1.47
8192, 11996, 1.46
16384, 23922, 1.46
128, 476, 3.72
256, 434, 1.70
512, 806, 1.57
1024, 1552, 1.52
2048, 3048, 1.49
4096, 6012, 1.47
8192, 11988, 1.46
16384, 23918, 1.46
128, 478, 3.73
256, 428, 1.67
512, 802, 1.57
1024, 1550, 1.51
2048, 3042, 1.49
4096, 6022, 1.47
8192, 11980, 1.46
16384, 23934, 1.46
128, 478, 3.73
256, 432, 1.69
512, 800, 1.56
1024, 1556, 1.52
2048, 3048, 1.49
4096, 6010, 1.47
8192, 11980, 1.46
16384, 23924, 1.46
128, 480, 3.75
256, 430, 1.68
512, 810, 1.58
1024, 1548, 1.51
2048, 3046, 1.49
4096, 6022, 1.47
8192, 11978, 1.46
16384, 23926, 1.46
