128, 516, 4.03
256, 964, 3.77
512, 1874, 3.66
1024, 3680, 3.59
2048, 7298, 3.56
4096, 14566, 3.56
8192, 29014, 3.54
16384, 58018, 3.54
128, 512, 4.00
256, 962, 3.76
512, 1874, 3.66
1024, 3680, 3.59
2048, 7302, 3.57
4096, 14572, 3.56
8192, 29040, 3.54
16384, 57988, 3.54
128, 512, 4.00
256, 964, 3.77
512, 1870, 3.65
1024, 3688, 3.60
2048, 7304, 3.57
4096, 14576, 3.56
8192, 29038, 3.54
16384, 57972, 3.54
128, 514, 4.02
256, 962, 3.76
512, 1866, 3.64
1024, 3688, 3.60
2048, 7306, 3.57
4096, 14566, 3.56
8192, 29052, 3.55
16384, 57974, 3.54
128, 510, 3.98
256, 962, 3.76
512, 1868, 3.65
1024, 3680, 3.59
2048, 7296, 3.56
4096, 14576, 3.56
8192, 29028, 3.54
16384, 57906, 3.53
128, 510, 3.98
256, 964, 3.77
512, 1868, 3.65
1024, 3672, 3.59
2048, 7286, 3.56
4096, 14586, 3.56
8192, 29024, 3.54
16384, 57988, 3.54
128, 510, 3.98
256, 968, 3.78
512, 1876, 3.66
1024, 3694, 3.61
2048, 7300, 3.56
4096, 14588, 3.56
8192, 29050, 3.55
16384, 57970, 3.54
128, 514, 4.02
256, 962, 3.76
512, 1870, 3.65
1024, 3668, 3.58
2048, 7300, 3.56
4096, 14584, 3.56
8192, 29064, 3.55
16384, 57978, 3.54
128, 514, 4.02
256, 966, 3.77
512, 1866, 3.64
1024, 3668, 3.58
2048, 7308, 3.57
4096, 14568, 3.56
8192, 29044, 3.55
16384, 57960, 3.54
128, 514, 4.02
256, 966, 3.77
512, 1876, 3.66
1024, 3682, 3.60
2048, 7308, 3.57
4096, 14562, 3.56
8192, 29018, 3.54
16384, 58012, 3.54
128, 512, 4.00
256, 962, 3.76
512, 1870, 3.65
1024, 3676, 3.59
2048, 7296, 3.56
4096, 14554, 3.55
8192, 29038, 3.54
16384, 57994, 3.54
