128, 520, 4.06
256, 976, 3.81
512, 1906, 3.72
1024, 3742, 3.65
2048, 7388, 3.61
4096, 14726, 3.60
8192, 29390, 3.59
16384, 58692, 3.58
128, 520, 4.06
256, 980, 3.83
512, 1900, 3.71
1024, 3728, 3.64
2048, 7396, 3.61
4096, 14740, 3.60
8192, 29438, 3.59
16384, 58716, 3.58
128, 520, 4.06
256, 976, 3.81
512, 1892, 3.70
1024, 3734, 3.65
2048, 7428, 3.63
4096, 14750, 3.60
8192, 29408, 3.59
16384, 58664, 3.58
128, 520, 4.06
256, 976, 3.81
512, 1900, 3.71
1024, 3716, 3.63
2048, 7398, 3.61
4096, 14750, 3.60
8192, 29414, 3.59
16384, 58710, 3.58
128, 520, 4.06
256, 978, 3.82
512, 1898, 3.71
1024, 3732, 3.64
2048, 7402, 3.61
4096, 14766, 3.60
8192, 29392, 3.59
16384, 58732, 3.58
128, 520, 4.06
256, 980, 3.83
512, 1902, 3.71
1024, 3734, 3.65
2048, 7378, 3.60
4096, 14750, 3.60
8192, 29410, 3.59
16384, 58752, 3.59
128, 518, 4.05
256, 980, 3.83
512, 1898, 3.71
1024, 3728, 3.64
2048, 7390, 3.61
4096, 14748, 3.60
8192, 29378, 3.59
16384, 58732, 3.58
128, 520, 4.06
256, 976, 3.81
512, 1894, 3.70
1024, 3744, 3.66
2048, 7410, 3.62
4096, 14754, 3.60
8192, 29400, 3.59
16384, 58706, 3.58
128, 520, 4.06
256, 976, 3.81
512, 1904, 3.72
1024, 3724, 3.64
2048, 7406, 3.62
4096, 14750, 3.60
8192, 29406, 3.59
16384, 58704, 3.58
128, 518, 4.05
256, 974, 3.80
512, 1908, 3.73
1024, 3722, 3.63
2048, 7390, 3.61
4096, 14770, 3.61
8192, 29396, 3.59
16384, 58676, 3.58
128, 526, 4.11
256, 974, 3.80
512, 1894, 3.70
1024, 3726, 3.64
2048, 7378, 3.60
4096, 14752, 3.60
8192, 29412, 3.59
16384, 58714, 3.58
