128, 398, 3.11
256, 782, 3.05
512, 650, 1.27
1024, 1244, 1.21
2048, 2426, 1.18
4096, 4806, 1.17
8192, 9550, 1.17
16384, 19052, 1.16
128, 396, 3.09
256, 782, 3.05
512, 654, 1.28
1024, 1244, 1.21
2048, 2424, 1.18
4096, 4806, 1.17
8192, 9552, 1.17
16384, 19060, 1.16
128, 398, 3.11
256, 786, 3.07
512, 654, 1.28
1024, 1242, 1.21
2048, 2428, 1.19
4096, 4804, 1.17
8192, 9550, 1.17
16384, 19060, 1.16
128, 398, 3.11
256, 786, 3.07
512, 650, 1.27
1024, 1244, 1.21
2048, 2424, 1.18
4096, 4796, 1.17
8192, 9546, 1.17
16384, 19050, 1.16
128, 398, 3.11
256, 782, 3.05
512, 652, 1.27
1024, 1246, 1.22
2048, 2422, 1.18
4096, 4804, 1.17
8192, 9552, 1.17
16384, 19058, 1.16
128, 396, 3.09
256, 780, 3.05
512, 652, 1.27
1024, 1250, 1.22
2048, 2424, 1.18
4096, 4800, 1.17
8192, 9544, 1.17
16384, 19038, 1.16
128, 396, 3.09
256, 782, 3.05
512, 646, 1.26
1024, 1242, 1.21
2048, 2424, 1.18
4096, 4804, 1.17
8192, 9550, 1.17
16384, 19058, 1.16
128, 396, 3.09
256, 782, 3.05
512, 660, 1.29
1024, 1242, 1.21
2048, 2422, 1.18
4096, 4800, 1.17
8192, 9552, 1.17
16384, 19042, 1.16
128, 398, 3.11
256, 784, 3.06
512, 648, 1.27
1024, 1238, 1.21
2048, 2428, 1.19
4096, 4802, 1.17
8192, 9562, 1.17
16384, 19050, 1.16
128, 396, 3.09
256, 786, 3.07
512, 650, 1.27
1024, 1244, 1.21
2048, 2424, 1.18
4096, 4800, 1.17
8192, 9552, 1.17
16384, 19054, 1.16
128, 398, 3.11
256, 788, 3.08
512, 652, 1.27
1024, 1246, 1.22
2048, 2426, 1.18
4096, 4794, 1.17
8192, 9556, 1.17
16384, 19046, 1.16
