128, 780, 6.09
256, 662, 2.59
512, 1264, 2.47
1024, 2462, 2.40
2048, 4864, 2.38
4096, 9678, 2.36
8192, 19304, 2.36
16384, 38530, 2.35
128, 782, 6.11
256, 662, 2.59
512, 1262, 2.46
1024, 2464, 2.41
2048, 4866, 2.38
4096, 9680, 2.36
8192, 19302, 2.36
16384, 38524, 2.35
128, 778, 6.08
256, 664, 2.59
512, 1264, 2.47
1024, 2462, 2.40
2048, 4868, 2.38
4096, 9678, 2.36
8192, 19298, 2.36
16384, 38546, 2.35
128, 776, 6.06
256, 666, 2.60
512, 1262, 2.46
1024, 2464, 2.41
2048, 4864, 2.38
4096, 9674, 2.36
8192, 19304, 2.36
16384, 38546, 2.35
128, 778, 6.08
256, 662, 2.59
512, 1264, 2.47
1024, 2460, 2.40
2048, 4864, 2.38
4096, 9682, 2.36
8192, 19294, 2.36
16384, 38528, 2.35
128, 782, 6.11
256, 662, 2.59
512, 1262, 2.46
1024, 2462, 2.40
2048, 4866, 2.38
4096, 9676, 2.36
8192, 19306, 2.36
16384, 38550, 2.35
128, 774, 6.05
256, 662, 2.59
512, 1266, 2.47
1024, 2466, 2.41
2048, 4860, 2.37
4096, 9678, 2.36
8192, 19314, 2.36
16384, 38532, 2.35
128, 774, 6.05
256, 664, 2.59
512, 1264, 2.47
1024, 2466, 2.41
2048, 4864, 2.38
4096, 9678, 2.36
8192, 19300, 2.36
16384, 38548, 2.35
128, 780, 6.09
256, 662, 2.59
512, 1264, 2.47
1024, 2466, 2.41
2048, 4862, 2.37
4096, 9680, 2.36
8192, 19310, 2.36
16384, 38530, 2.35
128, 774, 6.05
256, 666, 2.60
512, 1264, 2.47
1024, 2466, 2.41
2048, 4866, 2.38
4096, 9674, 2.36
8192, 19314, 2.36
16384, 38528, 2.35
128, 778, 6.08
256, 662, 2.59
512, 1264, 2.47
1024, 2466, 2.41
2048, 4866, 2.38
4096, 9678, 2.36
8192, 19302, 2.36
16384, 38554, 2.35
