128, 806, 6.30
256, 1552, 6.06
512, 3040, 5.94
1024, 6032, 5.89
2048, 12036, 5.88
4096, 23936, 5.84
8192, 47766, 5.83
16384, 95424, 5.82
128, 806, 6.30
256, 1552, 6.06
512, 3038, 5.93
1024, 6024, 5.88
2048, 11996, 5.86
4096, 23962, 5.85
8192, 47760, 5.83
16384, 95456, 5.83
128, 804, 6.28
256, 1550, 6.05
512, 3052, 5.96
1024, 6024, 5.88
2048, 12006, 5.86
4096, 23940, 5.84
8192, 47766, 5.83
16384, 95446, 5.83
128, 806, 6.30
256, 1550, 6.05
512, 3040, 5.94
1024, 6020, 5.88
2048, 11992, 5.86
4096, 23936, 5.84
8192, 47756, 5.83
16384, 95354, 5.82
128, 804, 6.28
256, 1550, 6.05
512, 3046, 5.95
1024, 6016, 5.88
2048, 11998, 5.86
4096, 23908, 5.84
8192, 47770, 5.83
16384, 95428, 5.82
128, 806, 6.30
256, 1552, 6.06
512, 3056, 5.97
1024, 6022, 5.88
2048, 12026, 5.87
4096, 23958, 5.85
8192, 47792, 5.83
16384, 95506, 5.83
128, 808, 6.31
256, 1550, 6.05
512, 3040, 5.94
1024, 6024, 5.88
2048, 12024, 5.87
4096, 23938, 5.84
8192, 47702, 5.82
16384, 95358, 5.82
128, 806, 6.30
256, 1552, 6.06
512, 3044, 5.95
1024, 6026, 5.88
2048, 12010, 5.86
4096, 23924, 5.84
8192, 47736, 5.83
16384, 95418, 5.82
128, 814, 6.36
256, 1548, 6.05
512, 3048, 5.95
1024, 6018, 5.88
2048, 11992, 5.86
4096, 23904, 5.84
8192, 47748, 5.83
16384, 95400, 5.82
128, 802, 6.27
256, 1548, 6.05
512, 3042, 5.94
1024, 6030, 5.89
2048, 12004, 5.86
4096, 23904, 5.84
8192, 47788, 5.83
16384, 95426, 5.82
128, 806, 6.30
256, 1546, 6.04
512, 3036, 5.93
1024, 6016, 5.88
2048, 12002, 5.86
4096, 23900, 5.83
8192, 47796, 5.83
16384, 95488, 5.83
