128, 484, 3.78
256, 484, 1.89
512, 900, 1.76
1024, 1744, 1.70
2048, 3434, 1.68
4096, 6806, 1.66
8192, 13566, 1.66
16384, 27100, 1.65
128, 482, 3.77
256, 484, 1.89
512, 904, 1.77
1024, 1746, 1.71
2048, 3430, 1.67
4096, 6818, 1.66
8192, 13566, 1.66
16384, 27092, 1.65
128, 482, 3.77
256, 484, 1.89
512, 904, 1.77
1024, 1748, 1.71
2048, 3436, 1.68
4096, 6812, 1.66
8192, 13572, 1.66
16384, 27088, 1.65
128, 482, 3.77
256, 482, 1.88
512, 904, 1.77
1024, 1748, 1.71
2048, 3440, 1.68
4096, 6812, 1.66
8192, 13552, 1.65
16384, 27086, 1.65
128, 484, 3.78
256, 484, 1.89
512, 908, 1.77
1024, 1746, 1.71
2048, 3438, 1.68
4096, 6800, 1.66
8192, 13572, 1.66
16384, 27088, 1.65
128, 484, 3.78
256, 480, 1.88
512, 902, 1.76
1024, 1746, 1.71
2048, 3430, 1.67
4096, 6810, 1.66
8192, 13574, 1.66
16384, 27088, 1.65
128, 480, 3.75
256, 490, 1.91
512, 910, 1.78
1024, 1748, 1.71
2048, 3434, 1.68
4096, 6814, 1.66
8192, 13568, 1.66
16384, 27076, 1.65
128, 480, 3.75
256, 484, 1.89
512, 902, 1.76
1024, 1746, 1.71
2048, 3440, 1.68
4096, 6810, 1.66
8192, 13574, 1.66
16384, 27092, 1.65
128, 482, 3.77
256, 482, 1.88
512, 906, 1.77
1024, 1750, 1.71
2048, 3434, 1.68
4096, 6816, 1.66
8192, 13568, 1.66
16384, 27068, 1.65
128, 482, 3.77
256, 484, 1.89
512, 910, 1.78
1024, 1750, 1.71
2048, 3434, 1.68
4096, 6810, 1.66
8192, 13566, 1.66
16384, 27072, 1.65
128, 480, 3.75
256, 484, 1.89
512, 904, 1.77
1024, 1740, 1.70
2048, 3432, 1.68
4096, 6818, 1.66
8192, 13556, 1.65
16384, 27084, 1.65
