128, 480, 3.75
256, 486, 1.90
512, 912, 1.78
1024, 1758, 1.72
2048, 3454, 1.69
4096, 6852, 1.67
8192, 13644, 1.67
16384, 27264, 1.66
128, 484, 3.78
256, 486, 1.90
512, 910, 1.78
1024, 1758, 1.72
2048, 3454, 1.69
4096, 6848, 1.67
8192, 13640, 1.67
16384, 27248, 1.66
128, 480, 3.75
256, 486, 1.90
512, 910, 1.78
1024, 1760, 1.72
2048, 3454, 1.69
4096, 6854, 1.67
8192, 13646, 1.67
16384, 27254, 1.66
128, 480, 3.75
256, 486, 1.90
512, 906, 1.77
1024, 1756, 1.71
2048, 3452, 1.69
4096, 6852, 1.67
8192, 13646, 1.67
16384, 27256, 1.66
128, 482, 3.77
256, 486, 1.90
512, 910, 1.78
1024, 1756, 1.71
2048, 3450, 1.68
4096, 6844, 1.67
8192, 13642, 1.67
16384, 27254, 1.66
128, 482, 3.77
256, 488, 1.91
512, 908, 1.77
1024, 1756, 1.71
2048, 3454, 1.69
4096, 6850, 1.67
8192, 13650, 1.67
16384, 27254, 1.66
128, 484, 3.78
256, 490, 1.91
512, 912, 1.78
1024, 1758, 1.72
2048, 3456, 1.69
4096, 6860, 1.67
8192, 13642, 1.67
16384, 27260, 1.66
128, 480, 3.75
256, 486, 1.90
512, 910, 1.78
1024, 1758, 1.72
2048, 3454, 1.69
4096, 6852, 1.67
8192, 13648, 1.67
16384, 27248, 1.66
128, 482, 3.77
256, 488, 1.91
512, 912, 1.78
1024, 1754, 1.71
2048, 3454, 1.69
4096, 6854, 1.67
8192, 13650, 1.67
16384, 27246, 1.66
128, 476, 3.72
256, 486, 1.90
512, 908, 1.77
1024, 1760, 1.72
2048, 3454, 1.69
4096, 6858, 1.67
8192, 13646, 1.67
16384, 27244, 1.66
128, 482, 3.77
256, 484, 1.89
512, 908, 1.77
1024, 1756, 1.71
2048, 3456, 1.69
4096, 6860, 1.67
8192, 13642, 1.67
16384, 27246, 1.66
