128, 758, 5.92
256, 760, 2.97
512, 758, 1.48
1024, 1456, 1.42
2048, 2858, 1.40
4096, 5656, 1.38
8192, 11264, 1.38
16384, 22476, 1.37
128, 766, 5.98
256, 756, 2.95
512, 754, 1.47
1024, 1456, 1.42
2048, 2856, 1.39
4096, 5658, 1.38
8192, 11250, 1.37
16384, 22498, 1.37
128, 760, 5.94
256, 760, 2.97
512, 760, 1.48
1024, 1458, 1.42
2048, 2860, 1.40
4096, 5670, 1.38
8192, 11280, 1.38
16384, 22486, 1.37
128, 760, 5.94
256, 756, 2.95
512, 760, 1.48
1024, 1456, 1.42
2048, 2854, 1.39
4096, 5656, 1.38
8192, 11264, 1.38
16384, 22524, 1.37
128, 758, 5.92
256, 760, 2.97
512, 760, 1.48
1024, 1448, 1.41
2048, 2856, 1.39
4096, 5652, 1.38
8192, 11262, 1.37
16384, 22482, 1.37
128, 760, 5.94
256, 754, 2.95
512, 754, 1.47
1024, 1456, 1.42
2048, 2864, 1.40
4096, 5650, 1.38
8192, 11268, 1.38
16384, 22516, 1.37
128, 756, 5.91
256, 760, 2.97
512, 756, 1.48
1024, 1460, 1.43
2048, 2864, 1.40
4096, 5656, 1.38
8192, 11252, 1.37
16384, 22494, 1.37
128, 758, 5.92
256, 762, 2.98
512, 758, 1.48
1024, 1450, 1.42
2048, 2854, 1.39
4096, 5658, 1.38
8192, 11284, 1.38
16384, 22510, 1.37
128, 756, 5.91
256, 762, 2.98
512, 760, 1.48
1024, 1450, 1.42
2048, 2858, 1.40
4096, 5670, 1.38
8192, 11266, 1.38
16384, 22484, 1.37
128, 760, 5.94
256, 756, 2.95
512, 758, 1.48
1024, 1460, 1.43
2048, 2864, 1.40
4096, 5674, 1.39
8192, 11252, 1.37
16384, 22506, 1.37
128, 760, 5.94
256, 760, 2.97
512, 756, 1.48
1024, 1456, 1.42
2048, 2862, 1.40
4096, 5652, 1.38
8192, 11270, 1.38
16384, 22484, 1.37
