128, 808, 6.31
256, 1552, 6.06
512, 3052, 5.96
1024, 6044, 5.90
2048, 12040, 5.88
4096, 24032, 5.87
8192, 47950, 5.85
16384, 95770, 5.85
128, 810, 6.33
256, 1552, 6.06
512, 3046, 5.95
1024, 6028, 5.89
2048, 12070, 5.89
4096, 24054, 5.87
8192, 47902, 5.85
16384, 95758, 5.84
128, 798, 6.23
256, 1556, 6.08
512, 3054, 5.96
1024, 6034, 5.89
2048, 12072, 5.89
4096, 24012, 5.86
8192, 47948, 5.85
16384, 95770, 5.85
128, 808, 6.31
256, 1556, 6.08
512, 3054, 5.96
1024, 6038, 5.90
2048, 12060, 5.89
4096, 24030, 5.87
8192, 47930, 5.85
16384, 95780, 5.85
128, 806, 6.30
256, 1546, 6.04
512, 3044, 5.95
1024, 6044, 5.90
2048, 12056, 5.89
4096, 24028, 5.87
8192, 47936, 5.85
16384, 95766, 5.85
128, 800, 6.25
256, 1554, 6.07
512, 3052, 5.96
1024, 6034, 5.89
2048, 12052, 5.88
4096, 24002, 5.86
8192, 47940, 5.85
16384, 95756, 5.84
128, 800, 6.25
256, 1546, 6.04
512, 3048, 5.95
1024, 6036, 5.89
2048, 12064, 5.89
4096, 23998, 5.86
8192, 47916, 5.85
16384, 95724, 5.84
128, 802, 6.27
256, 1550, 6.05
512, 3052, 5.96
1024, 6046, 5.90
2048, 12084, 5.90
4096, 24026, 5.87
8192, 47976, 5.86
16384, 95752, 5.84
128, 808, 6.31
256, 1556, 6.08
512, 3042, 5.94
1024, 6044, 5.90
2048, 12074, 5.90
4096, 24014, 5.86
8192, 47952, 5.85
16384, 95758, 5.84
128, 806, 6.30
256, 1556, 6.08
512, 3042, 5.94
1024, 6042, 5.90
2048, 12064, 5.89
4096, 24010, 5.86
8192, 47916, 5.85
16384, 95746, 5.84
128, 806, 6.30
256, 1552, 6.06
512, 3040, 5.94
1024, 6030, 5.89
2048, 12068, 5.89
4096, 24020, 5.86
8192, 47944, 5.85
16384, 95698, 5.84
