128, 1108, 8.66
256, 1116, 4.36
512, 1798, 3.51
1024, 3182, 3.11
2048, 5948, 2.90
4096, 11490, 2.81
8192, 22566, 2.75
16384, 44694, 2.73
128, 1108, 8.66
256, 1108, 4.33
512, 1806, 3.53
1024, 3184, 3.11
2048, 5954, 2.91
4096, 11490, 2.81
8192, 22566, 2.75
16384, 44702, 2.73
128, 1110, 8.67
256, 1108, 4.33
512, 1806, 3.53
1024, 3184, 3.11
2048, 5952, 2.91
4096, 11492, 2.81
8192, 22576, 2.76
16384, 44692, 2.73
128, 1116, 8.72
256, 1116, 4.36
512, 1806, 3.53
1024, 3184, 3.11
2048, 5944, 2.90
4096, 11486, 2.80
8192, 22580, 2.76
16384, 44710, 2.73
128, 1108, 8.66
256, 1116, 4.36
512, 1806, 3.53
1024, 3186, 3.11
2048, 5950, 2.91
4096, 11486, 2.80
8192, 22568, 2.75
16384, 44704, 2.73
128, 1106, 8.64
256, 1112, 4.34
512, 1798, 3.51
1024, 3182, 3.11
2048, 5952, 2.91
4096, 11488, 2.80
8192, 22570, 2.76
16384, 44698, 2.73
128, 1106, 8.64
256, 1112, 4.34
512, 1800, 3.52
1024, 3180, 3.11
2048, 5952, 2.91
4096, 11488, 2.80
8192, 22570, 2.76
16384, 44702, 2.73
128, 1108, 8.66
256, 1114, 4.35
512, 1800, 3.52
1024, 3178, 3.10
2048, 5952, 2.91
4096, 11486, 2.80
8192, 22580, 2.76
16384, 44694, 2.73
128, 1116, 8.72
256, 1110, 4.34
512, 1800, 3.52
1024, 3182, 3.11
2048, 5948, 2.90
4096, 11488, 2.80
8192, 22568, 2.75
16384, 44700, 2.73
128, 1114, 8.70
256, 1108, 4.33
512, 1800, 3.52
1024, 3178, 3.10
2048, 5946, 2.90
4096, 11486, 2.80
8192, 22570, 2.76
16384, 44692, 2.73
128, 1108, 8.66
256, 1106, 4.32
512, 1802, 3.52
1024, 3182, 3.11
2048, 5950, 2.91
4096, 11486, 2.80
8192, 22576, 2.76
16384, 44720, 2.73
