128, 1170, 9.14
256, 1896, 7.41
512, 3380, 6.60
1024, 6352, 6.20
2048, 12316, 6.01
4096, 24172, 5.90
8192, 47852, 5.84
16384, 95360, 5.82
128, 1154, 9.02
256, 1900, 7.42
512, 3384, 6.61
1024, 6360, 6.21
2048, 12306, 6.01
4096, 24158, 5.90
8192, 47850, 5.84
16384, 95350, 5.82
128, 1158, 9.05
256, 1904, 7.44
512, 3386, 6.61
1024, 6354, 6.21
2048, 12300, 6.01
4096, 24142, 5.89
8192, 47860, 5.84
16384, 95330, 5.82
128, 1156, 9.03
256, 1902, 7.43
512, 3382, 6.61
1024, 6342, 6.19
2048, 12314, 6.01
4096, 24190, 5.91
8192, 47902, 5.85
16384, 95356, 5.82
128, 1158, 9.05
256, 1898, 7.41
512, 3394, 6.63
1024, 6354, 6.21
2048, 12308, 6.01
4096, 24158, 5.90
8192, 47886, 5.85
16384, 95232, 5.81
128, 1160, 9.06
256, 1900, 7.42
512, 3376, 6.59
1024, 6346, 6.20
2048, 12306, 6.01
4096, 24176, 5.90
8192, 47916, 5.85
16384, 95338, 5.82
128, 1158, 9.05
256, 1904, 7.44
512, 3400, 6.64
1024, 6360, 6.21
2048, 12286, 6.00
4096, 24166, 5.90
8192, 47872, 5.84
16384, 95376, 5.82
128, 1158, 9.05
256, 1904, 7.44
512, 3384, 6.61
1024, 6354, 6.21
2048, 12272, 5.99
4096, 24152, 5.90
8192, 47840, 5.84
16384, 95324, 5.82
128, 1156, 9.03
256, 1902, 7.43
512, 3380, 6.60
1024, 6354, 6.21
2048, 12302, 6.01
4096, 24140, 5.89
8192, 47904, 5.85
16384, 95314, 5.82
128, 1158, 9.05
256, 1904, 7.44
512, 3378, 6.60
1024, 6352, 6.20
2048, 12288, 6.00
4096, 24154, 5.90
8192, 47854, 5.84
16384, 95292, 5.82
128, 1158, 9.05
256, 1894, 7.40
512, 3392, 6.62
1024, 6352, 6.20
2048, 12312, 6.01
4096, 24168, 5.90
8192, 47844, 5.84
16384, 95314, 5.82
