128, 3236, 25.28
256, 5132, 20.05
512, 9012, 17.60
1024, 16752, 16.36
2048, 32166, 15.71
4096, 62994, 15.38
8192, 124788, 15.23
16384, 248124, 15.14
128, 3238, 25.30
256, 5138, 20.07
512, 9028, 17.63
1024, 16740, 16.35
2048, 32154, 15.70
4096, 62982, 15.38
8192, 124610, 15.21
16384, 248172, 15.15
128, 3238, 25.30
256, 5128, 20.03
512, 9002, 17.58
1024, 16748, 16.36
2048, 32208, 15.73
4096, 63018, 15.39
8192, 124660, 15.22
16384, 248016, 15.14
128, 3238, 25.30
256, 5138, 20.07
512, 9008, 17.59
1024, 16740, 16.35
2048, 32150, 15.70
4096, 63052, 15.39
8192, 124646, 15.22
16384, 248240, 15.15
128, 3232, 25.25
256, 5130, 20.04
512, 9014, 17.61
1024, 16754, 16.36
2048, 32150, 15.70
4096, 62932, 15.36
8192, 124704, 15.22
16384, 247980, 15.14
128, 3244, 25.34
256, 5126, 20.02
512, 8996, 17.57
1024, 16742, 16.35
2048, 32152, 15.70
4096, 62934, 15.36
8192, 124624, 15.21
16384, 248166, 15.15
128, 3244, 25.34
256, 5140, 20.08
512, 9022, 17.62
1024, 16736, 16.34
2048, 32172, 15.71
4096, 62978, 15.38
8192, 124706, 15.22
16384, 248194, 15.15
128, 3238, 25.30
256, 5118, 19.99
512, 8998, 17.57
1024, 16742, 16.35
2048, 32212, 15.73
4096, 63028, 15.39
8192, 124704, 15.22
16384, 247990, 15.14
128, 3236, 25.28
256, 5130, 20.04
512, 8998, 17.57
1024, 16734, 16.34
2048, 32138, 15.69
4096, 62964, 15.37
8192, 124700, 15.22
16384, 248248, 15.15
128, 3236, 25.28
256, 5128, 20.03
512, 9006, 17.59
1024, 16736, 16.34
2048, 32146, 15.70
4096, 63024, 15.39
8192, 124774, 15.23
16384, 248164, 15.15
128, 3240, 25.31
256, 5138, 20.07
512, 9012, 17.60
1024, 16768, 16.38
2048, 32172, 15.71
4096, 63028, 15.39
8192, 124814, 15.24
16384, 248194, 15.15
