128, 1220, 9.53
256, 2368, 9.25
512, 4648, 9.08
1024, 9226, 9.01
2048, 18406, 8.99
4096, 35552, 8.68
8192, 69946, 8.54
16384, 138612, 8.46
128, 1226, 9.58
256, 2370, 9.26
512, 4652, 9.09
1024, 9218, 9.00
2048, 18400, 8.98
4096, 35572, 8.68
8192, 69904, 8.53
16384, 138584, 8.46
128, 1220, 9.53
256, 2366, 9.24
512, 4640, 9.06
1024, 9220, 9.00
2048, 18408, 8.99
4096, 35588, 8.69
8192, 69926, 8.54
16384, 138664, 8.46
128, 1222, 9.55
256, 2370, 9.26
512, 4650, 9.08
1024, 9192, 8.98
2048, 18406, 8.99
4096, 35566, 8.68
8192, 69936, 8.54
16384, 138626, 8.46
128, 1220, 9.53
256, 2362, 9.23
512, 4648, 9.08
1024, 9226, 9.01
2048, 18408, 8.99
4096, 35596, 8.69
8192, 69942, 8.54
16384, 138596, 8.46
128, 1222, 9.55
256, 2362, 9.23
512, 4650, 9.08
1024, 9222, 9.01
2048, 18398, 8.98
4096, 35592, 8.69
8192, 69934, 8.54
16384, 138646, 8.46
128, 1222, 9.55
256, 2364, 9.23
512, 4648, 9.08
1024, 9228, 9.01
2048, 18416, 8.99
4096, 35574, 8.69
8192, 69952, 8.54
16384, 138584, 8.46
128, 1222, 9.55
256, 2368, 9.25
512, 4644, 9.07
1024, 9218, 9.00
2048, 18396, 8.98
4096, 35592, 8.69
8192, 69932, 8.54
16384, 138636, 8.46
128, 1218, 9.52
256, 2366, 9.24
512, 4652, 9.09
1024, 9214, 9.00
2048, 18404, 8.99
4096, 35618, 8.70
8192, 69942, 8.54
16384, 138660, 8.46
128, 1218, 9.52
256, 2364, 9.23
512, 4646, 9.07
1024, 9222, 9.01
2048, 18404, 8.99
4096, 35590, 8.69
8192, 69928, 8.54
16384, 138638, 8.46
128, 1218, 9.52
256, 2364, 9.23
512, 4648, 9.08
1024, 9220, 9.00
2048, 18414, 8.99
4096, 35590, 8.69
8192, 69968, 8.54
16384, 138600, 8.46
