128, 180, 1.41
256, 330, 1.29
512, 602, 1.18
1024, 1066, 1.04
2048, 1952, 0.95
4096, 3708, 0.91
8192, 7226, 0.88
16384, 14264, 0.87
128, 176, 1.38
256, 328, 1.28
512, 606, 1.18
1024, 1068, 1.04
2048, 1950, 0.95
4096, 3700, 0.90
8192, 7236, 0.88
16384, 14264, 0.87
128, 176, 1.38
256, 328, 1.28
512, 602, 1.18
1024, 1070, 1.04
2048, 1948, 0.95
4096, 3712, 0.91
8192, 7240, 0.88
16384, 14264, 0.87
128, 180, 1.41
256, 330, 1.29
512, 604, 1.18
1024, 1078, 1.05
2048, 1950, 0.95
4096, 3710, 0.91
8192, 7226, 0.88
16384, 14246, 0.87
128, 178, 1.39
256, 316, 1.23
512, 604, 1.18
1024, 1068, 1.04
2048, 1950, 0.95
4096, 3710, 0.91
8192, 7218, 0.88
16384, 14264, 0.87
128, 178, 1.39
256, 328, 1.28
512, 604, 1.18
1024, 1070, 1.04
2048, 1952, 0.95
4096, 3716, 0.91
8192, 7224, 0.88
16384, 14270, 0.87
128, 180, 1.41
256, 326, 1.27
512, 604, 1.18
1024, 1076, 1.05
2048, 1954, 0.95
4096, 3706, 0.90
8192, 7222, 0.88
16384, 14274, 0.87
128, 178, 1.39
256, 312, 1.22
512, 602, 1.18
1024, 1068, 1.04
2048, 1942, 0.95
4096, 3712, 0.91
8192, 7226, 0.88
16384, 14252, 0.87
128, 180, 1.41
256, 312, 1.22
512, 608, 1.19
1024, 1064, 1.04
2048, 1952, 0.95
4096, 3706, 0.90
8192, 7224, 0.88
16384, 14252, 0.87
128, 178, 1.39
256, 312, 1.22
512, 608, 1.19
1024, 1068, 1.04
2048, 1952, 0.95
4096, 3720, 0.91
8192, 7230, 0.88
16384, 14278, 0.87
128, 178, 1.39
256, 332, 1.30
512, 602, 1.18
1024, 1058, 1.03
2048, 1946, 0.95
4096, 3700, 0.90
8192, 7232, 0.88
16384, 14232, 0.87
