128, 186, 1.45
256, 320, 1.25
512, 610, 1.19
1024, 1150, 1.12
2048, 2250, 1.10
4096, 4430, 1.08
8192, 8818, 1.08
16384, 17572, 1.07
128, 186, 1.45
256, 332, 1.30
512, 610, 1.19
1024, 1158, 1.13
2048, 2250, 1.10
4096, 4432, 1.08
8192, 8816, 1.08
16384, 17580, 1.07
128, 188, 1.47
256, 344, 1.34
512, 610, 1.19
1024, 1154, 1.13
2048, 2252, 1.10
4096, 4430, 1.08
8192, 8822, 1.08
16384, 17574, 1.07
128, 188, 1.47
256, 344, 1.34
512, 610, 1.19
1024, 1162, 1.13
2048, 2248, 1.10
4096, 4442, 1.08
8192, 8814, 1.08
16384, 17594, 1.07
128, 188, 1.47
256, 322, 1.26
512, 608, 1.19
1024, 1156, 1.13
2048, 2254, 1.10
4096, 4432, 1.08
8192, 8814, 1.08
16384, 17572, 1.07
128, 186, 1.45
256, 336, 1.31
512, 608, 1.19
1024, 1156, 1.13
2048, 2248, 1.10
4096, 4446, 1.09
8192, 8816, 1.08
16384, 17576, 1.07
128, 188, 1.47
256, 336, 1.31
512, 610, 1.19
1024, 1158, 1.13
2048, 2250, 1.10
4096, 4436, 1.08
8192, 8818, 1.08
16384, 17590, 1.07
128, 188, 1.47
256, 322, 1.26
512, 610, 1.19
1024, 1158, 1.13
2048, 2238, 1.09
4096, 4432, 1.08
8192, 8818, 1.08
16384, 17574, 1.07
128, 188, 1.47
256, 322, 1.26
512, 608, 1.19
1024, 1148, 1.12
2048, 2246, 1.10
4096, 4430, 1.08
8192, 8818, 1.08
16384, 17572, 1.07
128, 188, 1.47
256, 336, 1.31
512, 610, 1.19
1024, 1156, 1.13
2048, 2244, 1.10
4096, 4426, 1.08
8192, 8820, 1.08
16384, 17572, 1.07
128, 186, 1.45
256, 330, 1.29
512, 610, 1.19
1024, 1154, 1.13
2048, 2246, 1.10
4096, 4436, 1.08
8192, 8820, 1.08
16384, 17580, 1.07
