128, 1238, 9.67
256, 2062, 8.05
512, 3048, 5.95
1024, 4892, 4.78
2048, 8542, 4.17
4096, 15848, 3.87
8192, 30438, 3.72
16384, 59628, 3.64
128, 1236, 9.66
256, 2064, 8.06
512, 3052, 5.96
1024, 4894, 4.78
2048, 8542, 4.17
4096, 15840, 3.87
8192, 30444, 3.72
16384, 59630, 3.64
128, 1238, 9.67
256, 2062, 8.05
512, 3052, 5.96
1024, 4894, 4.78
2048, 8544, 4.17
4096, 15844, 3.87
8192, 30436, 3.72
16384, 59642, 3.64
128, 1238, 9.67
256, 2068, 8.08
512, 3052, 5.96
1024, 4894, 4.78
2048, 8538, 4.17
4096, 15838, 3.87
8192, 30444, 3.72
16384, 59634, 3.64
128, 1236, 9.66
256, 2062, 8.05
512, 3052, 5.96
1024, 4898, 4.78
2048, 8542, 4.17
4096, 15840, 3.87
8192, 30450, 3.72
16384, 59650, 3.64
128, 1240, 9.69
256, 2064, 8.06
512, 3054, 5.96
1024, 4898, 4.78
2048, 8538, 4.17
4096, 15846, 3.87
8192, 30444, 3.72
16384, 59620, 3.64
128, 1242, 9.70
256, 2066, 8.07
512, 3052, 5.96
1024, 4896, 4.78
2048, 8538, 4.17
4096, 15842, 3.87
8192, 30444, 3.72
16384, 59638, 3.64
128, 1236, 9.66
256, 2064, 8.06
512, 3048, 5.95
1024, 4892, 4.78
2048, 8540, 4.17
4096, 15846, 3.87
8192, 30442, 3.72
16384, 59620, 3.64
128, 1240, 9.69
256, 2064, 8.06
512, 3052, 5.96
1024, 4896, 4.78
2048, 8540, 4.17
4096, 15840, 3.87
8192, 30440, 3.72
16384, 59648, 3.64
128, 1240, 9.69
256, 2060, 8.05
512, 3050, 5.96
1024, 4896, 4.78
2048, 8540, 4.17
4096, 15842, 3.87
8192, 30440, 3.72
16384, 59644, 3.64
128, 1244, 9.72
256, 2066, 8.07
512, 3052, 5.96
1024, 4896, 4.78
2048, 8540, 4.17
4096, 15842, 3.87
8192, 30436, 3.72
16384, 59646, 3.64
