128, 976, 7.62
256, 1098, 4.29
512, 1236, 2.41
1024, 1516, 1.48
2048, 2066, 1.01
4096, 3176, 0.78
8192, 5388, 0.66
16384, 9820, 0.60
128, 970, 7.58
256, 1096, 4.28
512, 1236, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3174, 0.77
8192, 5392, 0.66
16384, 9824, 0.60
128, 970, 7.58
256, 1100, 4.30
512, 1236, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3176, 0.78
8192, 5388, 0.66
16384, 9820, 0.60
128, 976, 7.62
256, 1096, 4.28
512, 1238, 2.42
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3178, 0.78
8192, 5388, 0.66
16384, 9824, 0.60
128, 970, 7.58
256, 1094, 4.27
512, 1238, 2.42
1024, 1510, 1.47
2048, 2066, 1.01
4096, 3172, 0.77
8192, 5388, 0.66
16384, 9824, 0.60
128, 972, 7.59
256, 1100, 4.30
512, 1238, 2.42
1024, 1512, 1.48
2048, 2066, 1.01
4096, 3176, 0.78
8192, 5384, 0.66
16384, 9816, 0.60
128, 970, 7.58
256, 1100, 4.30
512, 1234, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3176, 0.78
8192, 5386, 0.66
16384, 9826, 0.60
128, 972, 7.59
256, 1096, 4.28
512, 1238, 2.42
1024, 1514, 1.48
2048, 2066, 1.01
4096, 3174, 0.77
8192, 5388, 0.66
16384, 9818, 0.60
128, 976, 7.62
256, 1098, 4.29
512, 1236, 2.41
1024, 1512, 1.48
2048, 2064, 1.01
4096, 3174, 0.77
8192, 5384, 0.66
16384, 9820, 0.60
128, 974, 7.61
256, 1100, 4.30
512, 1236, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3178, 0.78
8192, 5392, 0.66
16384, 9824, 0.60
128, 970, 7.58
256, 1100, 4.30
512, 1236, 2.41
1024, 1510, 1.47
2048, 2066, 1.01
4096, 3176, 0.78
8192, 5392, 0.66
16384, 9820, 0.60
