128, 976, 7.62
256, 1098, 4.29
512, 1386, 2.71
1024, 1862, 1.82
2048, 2744, 1.34
4096, 4502, 1.10
8192, 8014, 0.98
16384, 15044, 0.92
128, 972, 7.59
256, 1114, 4.35
512, 1388, 2.71
1024, 1868, 1.82
2048, 2738, 1.34
4096, 4504, 1.10
8192, 8014, 0.98
16384, 15030, 0.92
128, 976, 7.62
256, 1114, 4.35
512, 1386, 2.71
1024, 1860, 1.82
2048, 2746, 1.34
4096, 4502, 1.10
8192, 8020, 0.98
16384, 15036, 0.92
128, 974, 7.61
256, 1114, 4.35
512, 1386, 2.71
1024, 1870, 1.83
2048, 2744, 1.34
4096, 4504, 1.10
8192, 8008, 0.98
16384, 15052, 0.92
128, 972, 7.59
256, 1106, 4.32
512, 1386, 2.71
1024, 1866, 1.82
2048, 2748, 1.34
4096, 4494, 1.10
8192, 8016, 0.98
16384, 15036, 0.92
128, 978, 7.64
256, 1102, 4.30
512, 1382, 2.70
1024, 1864, 1.82
2048, 2742, 1.34
4096, 4502, 1.10
8192, 8014, 0.98
16384, 15050, 0.92
128, 972, 7.59
256, 1114, 4.35
512, 1382, 2.70
1024, 1860, 1.82
2048, 2742, 1.34
4096, 4498, 1.10
8192, 8004, 0.98
16384, 15026, 0.92
128, 974, 7.61
256, 1104, 4.31
512, 1390, 2.71
1024, 1868, 1.82
2048, 2738, 1.34
4096, 4510, 1.10
8192, 8010, 0.98
16384, 15036, 0.92
128, 974, 7.61
256, 1110, 4.34
512, 1386, 2.71
1024, 1868, 1.82
2048, 2742, 1.34
4096, 4494, 1.10
8192, 8012, 0.98
16384, 15048, 0.92
128, 966, 7.55
256, 1104, 4.31
512, 1384, 2.70
1024, 1868, 1.82
2048, 2748, 1.34
4096, 4490, 1.10
8192, 8004, 0.98
16384, 15036, 0.92
128, 976, 7.62
256, 1102, 4.30
512, 1388, 2.71
1024, 1868, 1.82
2048, 2740, 1.34
4096, 4502, 1.10
8192, 8012, 0.98
16384, 15044, 0.92
