128, 1680, 13.12
256, 2580, 10.08
512, 4364, 8.52
1024, 7926, 7.74
2048, 15080, 7.36
4096, 29338, 7.16
8192, 57860, 7.06
16384, 114880, 7.01
128, 1680, 13.12
256, 2578, 10.07
512, 4364, 8.52
1024, 7928, 7.74
2048, 15076, 7.36
4096, 29348, 7.17
8192, 57856, 7.06
16384, 114888, 7.01
128, 1678, 13.11
256, 2580, 10.08
512, 4364, 8.52
1024, 7926, 7.74
2048, 15078, 7.36
4096, 29340, 7.16
8192, 57876, 7.06
16384, 114900, 7.01
128, 1680, 13.12
256, 2562, 10.01
512, 4364, 8.52
1024, 7926, 7.74
2048, 15080, 7.36
4096, 29348, 7.17
8192, 57862, 7.06
16384, 114894, 7.01
128, 1678, 13.11
256, 2572, 10.05
512, 4364, 8.52
1024, 7926, 7.74
2048, 15072, 7.36
4096, 29340, 7.16
8192, 57846, 7.06
16384, 114880, 7.01
128, 1678, 13.11
256, 2576, 10.06
512, 4364, 8.52
1024, 7926, 7.74
2048, 15072, 7.36
4096, 29342, 7.16
8192, 57862, 7.06
16384, 114876, 7.01
128, 1682, 13.14
256, 2566, 10.02
512, 4364, 8.52
1024, 7928, 7.74
2048, 15074, 7.36
4096, 29340, 7.16
8192, 57862, 7.06
16384, 114894, 7.01
128, 1680, 13.12
256, 2562, 10.01
512, 4364, 8.52
1024, 7928, 7.74
2048, 15082, 7.36
4096, 29342, 7.16
8192, 57864, 7.06
16384, 114868, 7.01
128, 1676, 13.09
256, 2582, 10.09
512, 4362, 8.52
1024, 7926, 7.74
2048, 15074, 7.36
4096, 29342, 7.16
8192, 57858, 7.06
16384, 114900, 7.01
128, 1676, 13.09
256, 2584, 10.09
512, 4368, 8.53
1024, 7934, 7.75
2048, 15086, 7.37
4096, 29346, 7.16
8192, 57864, 7.06
16384, 114878, 7.01
128, 1678, 13.11
256, 2582, 10.09
512, 4364, 8.52
1024, 7928, 7.74
2048, 15076, 7.36
4096, 29348, 7.17
8192, 57850, 7.06
16384, 114878, 7.01
