128, 2480, 19.38
256, 3364, 13.14
512, 5162, 10.08
1024, 8716, 8.51
2048, 15890, 7.76
4096, 30142, 7.36
8192, 58696, 7.17
16384, 115762, 7.07
128, 2474, 19.33
256, 3364, 13.14
512, 5152, 10.06
1024, 8720, 8.52
2048, 15896, 7.76
4096, 30176, 7.37
8192, 58716, 7.17
16384, 115786, 7.07
128, 2480, 19.38
256, 3368, 13.16
512, 5156, 10.07
1024, 8724, 8.52
2048, 15874, 7.75
4096, 30156, 7.36
8192, 58690, 7.16
16384, 115750, 7.06
128, 2478, 19.36
256, 3372, 13.17
512, 5160, 10.08
1024, 8718, 8.51
2048, 15888, 7.76
4096, 30148, 7.36
8192, 58686, 7.16
16384, 115772, 7.07
128, 2478, 19.36
256, 3370, 13.16
512, 5156, 10.07
1024, 8716, 8.51
2048, 15884, 7.76
4096, 30158, 7.36
8192, 58702, 7.17
16384, 115744, 7.06
128, 2478, 19.36
256, 3366, 13.15
512, 5150, 10.06
1024, 8720, 8.52
2048, 15882, 7.75
4096, 30160, 7.36
8192, 58706, 7.17
16384, 115782, 7.07
128, 2488, 19.44
256, 3372, 13.17
512, 5152, 10.06
1024, 8724, 8.52
2048, 15898, 7.76
4096, 30162, 7.36
8192, 58696, 7.17
16384, 115754, 7.07
128, 2482, 19.39
256, 3374, 13.18
512, 5160, 10.08
1024, 8720, 8.52
2048, 15878, 7.75
4096, 30152, 7.36
8192, 58688, 7.16
16384, 115760, 7.07
128, 2474, 19.33
256, 3370, 13.16
512, 5158, 10.07
1024, 8716, 8.51
2048, 15884, 7.76
4096, 30156, 7.36
8192, 58690, 7.16
16384, 115766, 7.07
128, 2482, 19.39
256, 3376, 13.19
512, 5154, 10.07
1024, 8720, 8.52
2048, 15884, 7.76
4096, 30162, 7.36
8192, 58692, 7.16
16384, 115756, 7.07
128, 2472, 19.31
256, 3370, 13.16
512, 5152, 10.06
1024, 8718, 8.51
2048, 15880, 7.75
4096, 30152, 7.36
8192, 58676, 7.16
16384, 115728, 7.06
