128, 970, 7.58
256, 1106, 4.32
512, 1380, 2.70
1024, 1918, 1.87
2048, 3028, 1.48
4096, 5212, 1.27
8192, 9590, 1.17
16384, 18350, 1.12
128, 966, 7.55
256, 1104, 4.31
512, 1378, 2.69
1024, 1930, 1.88
2048, 3024, 1.48
4096, 5210, 1.27
8192, 9590, 1.17
16384, 18346, 1.12
128, 966, 7.55
256, 1106, 4.32
512, 1384, 2.70
1024, 1928, 1.88
2048, 3024, 1.48
4096, 5210, 1.27
8192, 9594, 1.17
16384, 18348, 1.12
128, 974, 7.61
256, 1098, 4.29
512, 1380, 2.70
1024, 1930, 1.88
2048, 3026, 1.48
4096, 5212, 1.27
8192, 9590, 1.17
16384, 18350, 1.12
128, 970, 7.58
256, 1118, 4.37
512, 1382, 2.70
1024, 1928, 1.88
2048, 3026, 1.48
4096, 5212, 1.27
8192, 9592, 1.17
16384, 18344, 1.12
128, 974, 7.61
256, 1098, 4.29
512, 1378, 2.69
1024, 1928, 1.88
2048, 3022, 1.48
4096, 5210, 1.27
8192, 9590, 1.17
16384, 18350, 1.12
128, 970, 7.58
256, 1102, 4.30
512, 1382, 2.70
1024, 1932, 1.89
2048, 3020, 1.47
4096, 5212, 1.27
8192, 9590, 1.17
16384, 18350, 1.12
128, 972, 7.59
256, 1100, 4.30
512, 1378, 2.69
1024, 1924, 1.88
2048, 3022, 1.48
4096, 5212, 1.27
8192, 9594, 1.17
16384, 18348, 1.12
128, 964, 7.53
256, 1108, 4.33
512, 1382, 2.70
1024, 1926, 1.88
2048, 3024, 1.48
4096, 5210, 1.27
8192, 9590, 1.17
16384, 18348, 1.12
128, 970, 7.58
256, 1108, 4.33
512, 1378, 2.69
1024, 1928, 1.88
2048, 3024, 1.48
4096, 5216, 1.27
8192, 9592, 1.17
16384, 18348, 1.12
128, 968, 7.56
256, 1104, 4.31
512, 1384, 2.70
1024, 1932, 1.89
2048, 3024, 1.48
4096, 5212, 1.27
8192, 9592, 1.17
16384, 18348, 1.12
