128, 476, 3.72
256, 430, 1.68
512, 814, 1.59
1024, 1570, 1.53
2048, 3068, 1.50
4096, 6088, 1.49
8192, 12130, 1.48
16384, 24170, 1.48
128, 476, 3.72
256, 432, 1.69
512, 812, 1.59
1024, 1558, 1.52
2048, 3066, 1.50
4096, 6074, 1.48
8192, 12140, 1.48
16384, 24180, 1.48
128, 478, 3.73
256, 432, 1.69
512, 808, 1.58
1024, 1562, 1.53
2048, 3068, 1.50
4096, 6112, 1.49
8192, 12148, 1.48
16384, 24202, 1.48
128, 478, 3.73
256, 436, 1.70
512, 814, 1.59
1024, 1564, 1.53
2048, 3066, 1.50
4096, 6102, 1.49
8192, 12146, 1.48
16384, 24260, 1.48
128, 478, 3.73
256, 432, 1.69
512, 808, 1.58
1024, 1570, 1.53
2048, 3084, 1.51
4096, 6084, 1.49
8192, 12106, 1.48
16384, 24210, 1.48
128, 476, 3.72
256, 434, 1.70
512, 816, 1.59
1024, 1568, 1.53
2048, 3080, 1.50
4096, 6072, 1.48
8192, 12134, 1.48
16384, 24234, 1.48
128, 476, 3.72
256, 438, 1.71
512, 812, 1.59
1024, 1566, 1.53
2048, 3070, 1.50
4096, 6088, 1.49
8192, 12134, 1.48
16384, 24218, 1.48
128, 480, 3.75
256, 434, 1.70
512, 814, 1.59
1024, 1570, 1.53
2048, 3070, 1.50
4096, 6108, 1.49
8192, 12128, 1.48
16384, 24292, 1.48
128, 478, 3.73
256, 434, 1.70
512, 812, 1.59
1024, 1560, 1.52
2048, 3068, 1.50
4096, 6108, 1.49
8192, 12118, 1.48
16384, 24230, 1.48
128, 476, 3.72
256, 434, 1.70
512, 810, 1.58
1024, 1564, 1.53
2048, 3072, 1.50
4096, 6094, 1.49
8192, 12118, 1.48
16384, 24270, 1.48
128, 474, 3.70
256, 434, 1.70
512, 812, 1.59
1024, 1564, 1.53
2048, 3088, 1.51
4096, 6084, 1.49
8192, 12106, 1.48
16384, 24212, 1.48
