128, 264, 2.06
256, 486, 1.90
512, 430, 0.84
1024, 810, 0.79
2048, 1542, 0.75
4096, 3042, 0.74
8192, 6030, 0.74
16384, 12004, 0.73
128, 264, 2.06
256, 488, 1.91
512, 430, 0.84
1024, 806, 0.79
2048, 1552, 0.76
4096, 3042, 0.74
8192, 6032, 0.74
16384, 12008, 0.73
128, 260, 2.03
256, 484, 1.89
512, 434, 0.85
1024, 800, 0.78
2048, 1550, 0.76
4096, 3044, 0.74
8192, 6048, 0.74
16384, 12020, 0.73
128, 260, 2.03
256, 486, 1.90
512, 432, 0.84
1024, 810, 0.79
2048, 1542, 0.75
4096, 3044, 0.74
8192, 6026, 0.74
16384, 11996, 0.73
128, 258, 2.02
256, 490, 1.91
512, 428, 0.84
1024, 804, 0.79
2048, 1546, 0.75
4096, 3044, 0.74
8192, 6030, 0.74
16384, 12018, 0.73
128, 262, 2.05
256, 492, 1.92
512, 430, 0.84
1024, 800, 0.78
2048, 1556, 0.76
4096, 3052, 0.75
8192, 6040, 0.74
16384, 12030, 0.73
128, 260, 2.03
256, 488, 1.91
512, 436, 0.85
1024, 802, 0.78
2048, 1546, 0.75
4096, 3038, 0.74
8192, 6026, 0.74
16384, 12018, 0.73
128, 262, 2.05
256, 490, 1.91
512, 436, 0.85
1024, 808, 0.79
2048, 1556, 0.76
4096, 3046, 0.74
8192, 6032, 0.74
16384, 12000, 0.73
128, 266, 2.08
256, 486, 1.90
512, 432, 0.84
1024, 808, 0.79
2048, 1554, 0.76
4096, 3052, 0.75
8192, 6040, 0.74
16384, 12002, 0.73
128, 264, 2.06
256, 486, 1.90
512, 434, 0.85
1024, 806, 0.79
2048, 1546, 0.75
4096, 3046, 0.74
8192, 6026, 0.74
16384, 12002, 0.73
128, 260, 2.03
256, 488, 1.91
512, 440, 0.86
1024, 806, 0.79
2048, 1546, 0.75
4096, 3038, 0.74
8192, 6040, 0.74
16384, 12020, 0.73
