128, 476, 3.72
256, 434, 1.70
512, 812, 1.59
1024, 1550, 1.51
2048, 3044, 1.49
4096, 6032, 1.47
8192, 11998, 1.46
16384, 23970, 1.46
128, 478, 3.73
256, 432, 1.69
512, 806, 1.57
1024, 1552, 1.52
2048, 3048, 1.49
4096, 6032, 1.47
8192, 11998, 1.46
16384, 23978, 1.46
128, 480, 3.75
256, 434, 1.70
512, 810, 1.58
1024, 1552, 1.52
2048, 3038, 1.48
4096, 6040, 1.47
8192, 12012, 1.47
16384, 23984, 1.46
128, 478, 3.73
256, 436, 1.70
512, 808, 1.58
1024, 1554, 1.52
2048, 3042, 1.49
4096, 6036, 1.47
8192, 12024, 1.47
16384, 23978, 1.46
128, 480, 3.75
256, 436, 1.70
512, 806, 1.57
1024, 1554, 1.52
2048, 3046, 1.49
4096, 6040, 1.47
8192, 12012, 1.47
16384, 23988, 1.46
128, 478, 3.73
256, 436, 1.70
512, 808, 1.58
1024, 1552, 1.52
2048, 3048, 1.49
4096, 6034, 1.47
8192, 12012, 1.47
16384, 24000, 1.46
128, 480, 3.75
256, 436, 1.70
512, 806, 1.57
1024, 1554, 1.52
2048, 3040, 1.48
4096, 6030, 1.47
8192, 12012, 1.47
16384, 23988, 1.46
128, 482, 3.77
256, 434, 1.70
512, 810, 1.58
1024, 1552, 1.52
2048, 3040, 1.48
4096, 6030, 1.47
8192, 11998, 1.46
16384, 23982, 1.46
128, 478, 3.73
256, 434, 1.70
512, 810, 1.58
1024, 1552, 1.52
2048, 3040, 1.48
4096, 6026, 1.47
8192, 12004, 1.47
16384, 23980, 1.46
128, 478, 3.73
256, 434, 1.70
512, 808, 1.58
1024, 1552, 1.52
2048, 3042, 1.49
4096, 6022, 1.47
8192, 11998, 1.46
16384, 23982, 1.46
128, 478, 3.73
256, 436, 1.70
512, 806, 1.57
1024, 1554, 1.52
2048, 3036, 1.48
4096, 6036, 1.47
8192, 11992, 1.46
16384, 23972, 1.46
