128, 530, 4.14
256, 1000, 3.91
512, 1956, 3.82
1024, 3858, 3.77
2048, 7630, 3.73
4096, 15270, 3.73
8192, 30400, 3.71
16384, 60666, 3.70
128, 532, 4.16
256, 1006, 3.93
512, 1952, 3.81
1024, 3852, 3.76
2048, 7650, 3.74
4096, 15294, 3.73
8192, 30408, 3.71
16384, 60792, 3.71
128, 532, 4.16
256, 1002, 3.91
512, 1948, 3.80
1024, 3836, 3.75
2048, 7636, 3.73
4096, 15260, 3.73
8192, 30480, 3.72
16384, 60784, 3.71
128, 532, 4.16
256, 1004, 3.92
512, 1954, 3.82
1024, 3850, 3.76
2048, 7626, 3.72
4096, 15234, 3.72
8192, 30426, 3.71
16384, 60734, 3.71
128, 530, 4.14
256, 1002, 3.91
512, 1952, 3.81
1024, 3834, 3.74
2048, 7632, 3.73
4096, 15252, 3.72
8192, 30456, 3.72
16384, 60800, 3.71
128, 530, 4.14
256, 1002, 3.91
512, 1958, 3.82
1024, 3856, 3.77
2048, 7648, 3.73
4096, 15276, 3.73
8192, 30454, 3.72
16384, 60814, 3.71
128, 530, 4.14
256, 1004, 3.92
512, 1944, 3.80
1024, 3834, 3.74
2048, 7626, 3.72
4096, 15224, 3.72
8192, 30388, 3.71
16384, 60666, 3.70
128, 530, 4.14
256, 1004, 3.92
512, 1954, 3.82
1024, 3846, 3.76
2048, 7630, 3.73
4096, 15252, 3.72
8192, 30422, 3.71
16384, 60794, 3.71
128, 530, 4.14
256, 1000, 3.91
512, 1948, 3.80
1024, 3856, 3.77
2048, 7640, 3.73
4096, 15276, 3.73
8192, 30478, 3.72
16384, 60814, 3.71
128, 534, 4.17
256, 1002, 3.91
512, 1956, 3.82
1024, 3842, 3.75
2048, 7628, 3.72
4096, 15238, 3.72
8192, 30482, 3.72
16384, 60808, 3.71
128, 528, 4.12
256, 1002, 3.91
512, 1952, 3.81
1024, 3862, 3.77
2048, 7628, 3.72
4096, 15296, 3.73
8192, 30442, 3.72
16384, 60794, 3.71
