128, 780, 6.09
256, 664, 2.59
512, 1262, 2.46
1024, 2460, 2.40
2048, 4864, 2.38
4096, 9662, 2.36
8192, 19274, 2.35
16384, 38482, 2.35
128, 776, 6.06
256, 662, 2.59
512, 1260, 2.46
1024, 2460, 2.40
2048, 4856, 2.37
4096, 9662, 2.36
8192, 19276, 2.35
16384, 38474, 2.35
128, 778, 6.08
256, 662, 2.59
512, 1264, 2.47
1024, 2460, 2.40
2048, 4858, 2.37
4096, 9674, 2.36
8192, 19284, 2.35
16384, 38468, 2.35
128, 770, 6.02
256, 664, 2.59
512, 1260, 2.46
1024, 2460, 2.40
2048, 4858, 2.37
4096, 9664, 2.36
8192, 19288, 2.35
16384, 38488, 2.35
128, 776, 6.06
256, 666, 2.60
512, 1262, 2.46
1024, 2462, 2.40
2048, 4864, 2.38
4096, 9668, 2.36
8192, 19288, 2.35
16384, 38486, 2.35
128, 772, 6.03
256, 662, 2.59
512, 1260, 2.46
1024, 2462, 2.40
2048, 4860, 2.37
4096, 9664, 2.36
8192, 19286, 2.35
16384, 38484, 2.35
128, 770, 6.02
256, 662, 2.59
512, 1262, 2.46
1024, 2462, 2.40
2048, 4862, 2.37
4096, 9668, 2.36
8192, 19280, 2.35
16384, 38500, 2.35
128, 768, 6.00
256, 664, 2.59
512, 1264, 2.47
1024, 2460, 2.40
2048, 4854, 2.37
4096, 9668, 2.36
8192, 19278, 2.35
16384, 38466, 2.35
128, 766, 5.98
256, 664, 2.59
512, 1262, 2.46
1024, 2456, 2.40
2048, 4856, 2.37
4096, 9670, 2.36
8192, 19282, 2.35
16384, 38494, 2.35
128, 766, 5.98
256, 664, 2.59
512, 1262, 2.46
1024, 2460, 2.40
2048, 4860, 2.37
4096, 9664, 2.36
8192, 19280, 2.35
16384, 38484, 2.35
128, 772, 6.03
256, 662, 2.59
512, 1258, 2.46
1024, 2458, 2.40
2048, 4860, 2.37
4096, 9674, 2.36
8192, 19288, 2.35
16384, 38476, 2.35
