128, 396, 3.09
256, 788, 3.08
512, 654, 1.28
1024, 1244, 1.21
2048, 2428, 1.19
4096, 4814, 1.18
8192, 9558, 1.17
16384, 19068, 1.16
128, 398, 3.11
256, 780, 3.05
512, 654, 1.28
1024, 1244, 1.21
2048, 2432, 1.19
4096, 4808, 1.17
8192, 9560, 1.17
16384, 19072, 1.16
128, 398, 3.11
256, 792, 3.09
512, 656, 1.28
1024, 1246, 1.22
2048, 2430, 1.19
4096, 4808, 1.17
8192, 9566, 1.17
16384, 19078, 1.16
128, 398, 3.11
256, 780, 3.05
512, 658, 1.29
1024, 1246, 1.22
2048, 2430, 1.19
4096, 4808, 1.17
8192, 9554, 1.17
16384, 19066, 1.16
128, 400, 3.12
256, 790, 3.09
512, 652, 1.27
1024, 1246, 1.22
2048, 2430, 1.19
4096, 4810, 1.17
8192, 9562, 1.17
16384, 19068, 1.16
128, 398, 3.11
256, 786, 3.07
512, 662, 1.29
1024, 1248, 1.22
2048, 2426, 1.18
4096, 4814, 1.18
8192, 9560, 1.17
16384, 19056, 1.16
128, 398, 3.11
256, 786, 3.07
512, 658, 1.29
1024, 1246, 1.22
2048, 2428, 1.19
4096, 4810, 1.17
8192, 9564, 1.17
16384, 19072, 1.16
128, 398, 3.11
256, 780, 3.05
512, 654, 1.28
1024, 1246, 1.22
2048, 2430, 1.19
4096, 4814, 1.18
8192, 9558, 1.17
16384, 19076, 1.16
128, 398, 3.11
256, 788, 3.08
512, 654, 1.28
1024, 1248, 1.22
2048, 2430, 1.19
4096, 4814, 1.18
8192, 9548, 1.17
16384, 19066, 1.16
128, 396, 3.09
256, 792, 3.09
512, 654, 1.28
1024, 1244, 1.21
2048, 2426, 1.18
4096, 4806, 1.17
8192, 9562, 1.17
16384, 19086, 1.16
128, 398, 3.11
256, 780, 3.05
512, 660, 1.29
1024, 1242, 1.21
2048, 2424, 1.18
4096, 4808, 1.17
8192, 9562, 1.17
16384, 19058, 1.16
