128, 398, 3.11
256, 794, 3.10
512, 656, 1.28
1024, 1246, 1.22
2048, 2436, 1.19
4096, 4814, 1.18
8192, 9578, 1.17
16384, 19112, 1.17
128, 398, 3.11
256, 786, 3.07
512, 652, 1.27
1024, 1248, 1.22
2048, 2438, 1.19
4096, 4818, 1.18
8192, 9576, 1.17
16384, 19110, 1.17
128, 400, 3.12
256, 786, 3.07
512, 652, 1.27
1024, 1252, 1.22
2048, 2438, 1.19
4096, 4816, 1.18
8192, 9574, 1.17
16384, 19112, 1.17
128, 398, 3.11
256, 792, 3.09
512, 654, 1.28
1024, 1246, 1.22
2048, 2436, 1.19
4096, 4820, 1.18
8192, 9576, 1.17
16384, 19112, 1.17
128, 402, 3.14
256, 798, 3.12
512, 658, 1.29
1024, 1250, 1.22
2048, 2432, 1.19
4096, 4816, 1.18
8192, 9572, 1.17
16384, 19104, 1.17
128, 404, 3.16
256, 786, 3.07
512, 656, 1.28
1024, 1248, 1.22
2048, 2434, 1.19
4096, 4820, 1.18
8192, 9578, 1.17
16384, 19112, 1.17
128, 400, 3.12
256, 790, 3.09
512, 658, 1.29
1024, 1252, 1.22
2048, 2436, 1.19
4096, 4820, 1.18
8192, 9578, 1.17
16384, 19110, 1.17
128, 400, 3.12
256, 780, 3.05
512, 652, 1.27
1024, 1254, 1.22
2048, 2434, 1.19
4096, 4818, 1.18
8192, 9574, 1.17
16384, 19104, 1.17
128, 402, 3.14
256, 792, 3.09
512, 658, 1.29
1024, 1250, 1.22
2048, 2432, 1.19
4096, 4818, 1.18
8192, 9574, 1.17
16384, 19110, 1.17
128, 398, 3.11
256, 800, 3.12
512, 656, 1.28
1024, 1250, 1.22
2048, 2440, 1.19
4096, 4816, 1.18
8192, 9574, 1.17
16384, 19116, 1.17
128, 402, 3.14
256, 784, 3.06
512, 658, 1.29
1024, 1254, 1.22
2048, 2438, 1.19
4096, 4814, 1.18
8192, 9570, 1.17
16384, 19110, 1.17
