128, 790, 6.17
256, 664, 2.59
512, 1264, 2.47
1024, 2468, 2.41
2048, 4868, 2.38
4096, 9698, 2.37
8192, 19322, 2.36
16384, 38586, 2.36
128, 776, 6.06
256, 658, 2.57
512, 1268, 2.48
1024, 2468, 2.41
2048, 4872, 2.38
4096, 9690, 2.37
8192, 19338, 2.36
16384, 38598, 2.36
128, 778, 6.08
256, 662, 2.59
512, 1262, 2.46
1024, 2468, 2.41
2048, 4870, 2.38
4096, 9694, 2.37
8192, 19334, 2.36
16384, 38574, 2.35
128, 786, 6.14
256, 666, 2.60
512, 1262, 2.46
1024, 2464, 2.41
2048, 4872, 2.38
4096, 9686, 2.36
8192, 19334, 2.36
16384, 38576, 2.35
128, 778, 6.08
256, 664, 2.59
512, 1260, 2.46
1024, 2466, 2.41
2048, 4866, 2.38
4096, 9688, 2.37
8192, 19346, 2.36
16384, 38580, 2.35
128, 778, 6.08
256, 666, 2.60
512, 1264, 2.47
1024, 2462, 2.40
2048, 4870, 2.38
4096, 9686, 2.36
8192, 19326, 2.36
16384, 38570, 2.35
128, 782, 6.11
256, 664, 2.59
512, 1264, 2.47
1024, 2468, 2.41
2048, 4872, 2.38
4096, 9684, 2.36
8192, 19328, 2.36
16384, 38602, 2.36
128, 778, 6.08
256, 662, 2.59
512, 1262, 2.46
1024, 2462, 2.40
2048, 4868, 2.38
4096, 9686, 2.36
8192, 19328, 2.36
16384, 38566, 2.35
128, 778, 6.08
256, 666, 2.60
512, 1262, 2.46
1024, 2460, 2.40
2048, 4876, 2.38
4096, 9690, 2.37
8192, 19336, 2.36
16384, 38590, 2.36
128, 776, 6.06
256, 662, 2.59
512, 1268, 2.48
1024, 2470, 2.41
2048, 4870, 2.38
4096, 9694, 2.37
8192, 19336, 2.36
16384, 38578, 2.35
128, 776, 6.06
256, 664, 2.59
512, 1266, 2.47
1024, 2464, 2.41
2048, 4866, 2.38
4096, 9684, 2.36
8192, 19330, 2.36
16384, 38572, 2.35
