128, 818, 6.39
256, 1584, 6.19
512, 3092, 6.04
1024, 6126, 5.98
2048, 12222, 5.97
4096, 24378, 5.95
8192, 48682, 5.94
16384, 97226, 5.93
128, 822, 6.42
256, 1576, 6.16
512, 3098, 6.05
1024, 6132, 5.99
2048, 12232, 5.97
4096, 24374, 5.95
8192, 48632, 5.94
16384, 97232, 5.93
128, 822, 6.42
256, 1578, 6.16
512, 3096, 6.05
1024, 6124, 5.98
2048, 12226, 5.97
4096, 24376, 5.95
8192, 48650, 5.94
16384, 97234, 5.93
128, 822, 6.42
256, 1580, 6.17
512, 3092, 6.04
1024, 6118, 5.97
2048, 12234, 5.97
4096, 24402, 5.96
8192, 48638, 5.94
16384, 97220, 5.93
128, 820, 6.41
256, 1580, 6.17
512, 3094, 6.04
1024, 6130, 5.99
2048, 12224, 5.97
4096, 24386, 5.95
8192, 48658, 5.94
16384, 97228, 5.93
128, 822, 6.42
256, 1580, 6.17
512, 3098, 6.05
1024, 6136, 5.99
2048, 12226, 5.97
4096, 24372, 5.95
8192, 48674, 5.94
16384, 97224, 5.93
128, 820, 6.41
256, 1576, 6.16
512, 3094, 6.04
1024, 6134, 5.99
2048, 12226, 5.97
4096, 24352, 5.95
8192, 48650, 5.94
16384, 97214, 5.93
128, 820, 6.41
256, 1578, 6.16
512, 3096, 6.05
1024, 6130, 5.99
2048, 12224, 5.97
4096, 24396, 5.96
8192, 48668, 5.94
16384, 97196, 5.93
128, 818, 6.39
256, 1582, 6.18
512, 3092, 6.04
1024, 6132, 5.99
2048, 12226, 5.97
4096, 24392, 5.96
8192, 48634, 5.94
16384, 97244, 5.94
128, 820, 6.41
256, 1574, 6.15
512, 3094, 6.04
1024, 6132, 5.99
2048, 12228, 5.97
4096, 24382, 5.95
8192, 48642, 5.94
16384, 97234, 5.93
128, 822, 6.42
256, 1578, 6.16
512, 3100, 6.05
1024, 6130, 5.99
2048, 12224, 5.97
4096, 24384, 5.95
8192, 48680, 5.94
16384, 97268, 5.94
