128, 482, 3.77
256, 482, 1.88
512, 906, 1.77
1024, 1750, 1.71
2048, 3436, 1.68
4096, 6818, 1.66
8192, 13572, 1.66
16384, 27096, 1.65
128, 478, 3.73
256, 486, 1.90
512, 906, 1.77
1024, 1746, 1.71
2048, 3440, 1.68
4096, 6814, 1.66
8192, 13570, 1.66
16384, 27090, 1.65
128, 484, 3.78
256, 486, 1.90
512, 908, 1.77
1024, 1750, 1.71
2048, 3436, 1.68
4096, 6814, 1.66
8192, 13572, 1.66
16384, 27094, 1.65
128, 484, 3.78
256, 482, 1.88
512, 910, 1.78
1024, 1752, 1.71
2048, 3430, 1.67
4096, 6820, 1.67
8192, 13568, 1.66
16384, 27084, 1.65
128, 478, 3.73
256, 488, 1.91
512, 906, 1.77
1024, 1752, 1.71
2048, 3434, 1.68
4096, 6820, 1.67
8192, 13574, 1.66
16384, 27084, 1.65
128, 484, 3.78
256, 486, 1.90
512, 906, 1.77
1024, 1750, 1.71
2048, 3426, 1.67
4096, 6808, 1.66
8192, 13564, 1.66
16384, 27092, 1.65
128, 478, 3.73
256, 488, 1.91
512, 910, 1.78
1024, 1744, 1.70
2048, 3432, 1.68
4096, 6812, 1.66
8192, 13560, 1.66
16384, 27092, 1.65
128, 484, 3.78
256, 488, 1.91
512, 904, 1.77
1024, 1750, 1.71
2048, 3430, 1.67
4096, 6810, 1.66
8192, 13574, 1.66
16384, 27074, 1.65
128, 478, 3.73
256, 486, 1.90
512, 902, 1.76
1024, 1750, 1.71
2048, 3438, 1.68
4096, 6808, 1.66
8192, 13574, 1.66
16384, 27076, 1.65
128, 478, 3.73
256, 486, 1.90
512, 908, 1.77
1024, 1744, 1.70
2048, 3438, 1.68
4096, 6816, 1.66
8192, 13582, 1.66
16384, 27100, 1.65
128, 480, 3.75
256, 486, 1.90
512, 908, 1.77
1024, 1748, 1.71
2048, 3438, 1.68
4096, 6814, 1.66
8192, 13570, 1.66
16384, 27104, 1.65
