128, 492, 3.84
256, 496, 1.94
512, 494, 0.96
1024, 928, 0.91
2048, 1784, 0.87
4096, 3510, 0.86
8192, 6948, 0.85
16384, 13840, 0.84
128, 494, 3.86
256, 498, 1.95
512, 494, 0.96
1024, 924, 0.90
2048, 1788, 0.87
4096, 3508, 0.86
8192, 6950, 0.85
16384, 13824, 0.84
128, 498, 3.89
256, 490, 1.91
512, 494, 0.96
1024, 926, 0.90
2048, 1780, 0.87
4096, 3504, 0.86
8192, 6954, 0.85
16384, 13834, 0.84
128, 498, 3.89
256, 490, 1.91
512, 498, 0.97
1024, 924, 0.90
2048, 1792, 0.88
4096, 3502, 0.85
8192, 6946, 0.85
16384, 13830, 0.84
128, 496, 3.88
256, 490, 1.91
512, 494, 0.96
1024, 920, 0.90
2048, 1782, 0.87
4096, 3500, 0.85
8192, 6952, 0.85
16384, 13832, 0.84
128, 492, 3.84
256, 496, 1.94
512, 498, 0.97
1024, 928, 0.91
2048, 1784, 0.87
4096, 3506, 0.86
8192, 6942, 0.85
16384, 13830, 0.84
128, 498, 3.89
256, 494, 1.93
512, 494, 0.96
1024, 928, 0.91
2048, 1782, 0.87
4096, 3504, 0.86
8192, 6954, 0.85
16384, 13832, 0.84
128, 496, 3.88
256, 494, 1.93
512, 498, 0.97
1024, 924, 0.90
2048, 1786, 0.87
4096, 3506, 0.86
8192, 6960, 0.85
16384, 13836, 0.84
128, 492, 3.84
256, 492, 1.92
512, 498, 0.97
1024, 926, 0.90
2048, 1786, 0.87
4096, 3500, 0.85
8192, 6948, 0.85
16384, 13820, 0.84
128, 492, 3.84
256, 496, 1.94
512, 492, 0.96
1024, 926, 0.90
2048, 1786, 0.87
4096, 3504, 0.86
8192, 6958, 0.85
16384, 13834, 0.84
128, 490, 3.83
256, 496, 1.94
512, 498, 0.97
1024, 924, 0.90
2048, 1784, 0.87
4096, 3502, 0.85
8192, 6950, 0.85
16384, 13824, 0.84
