128, 480, 3.75
256, 486, 1.90
512, 910, 1.78
1024, 1758, 1.72
2048, 3454, 1.69
4096, 6848, 1.67
8192, 13632, 1.66
16384, 27218, 1.66
128, 478, 3.73
256, 486, 1.90
512, 906, 1.77
1024, 1760, 1.72
2048, 3456, 1.69
4096, 6846, 1.67
8192, 13636, 1.66
16384, 27232, 1.66
128, 478, 3.73
256, 484, 1.89
512, 908, 1.77
1024, 1756, 1.71
2048, 3450, 1.68
4096, 6844, 1.67
8192, 13634, 1.66
16384, 27220, 1.66
128, 476, 3.72
256, 486, 1.90
512, 910, 1.78
1024, 1754, 1.71
2048, 3456, 1.69
4096, 6848, 1.67
8192, 13630, 1.66
16384, 27228, 1.66
128, 478, 3.73
256, 486, 1.90
512, 912, 1.78
1024, 1756, 1.71
2048, 3452, 1.69
4096, 6858, 1.67
8192, 13640, 1.67
16384, 27236, 1.66
128, 480, 3.75
256, 486, 1.90
512, 910, 1.78
1024, 1758, 1.72
2048, 3450, 1.68
4096, 6852, 1.67
8192, 13634, 1.66
16384, 27216, 1.66
128, 478, 3.73
256, 484, 1.89
512, 908, 1.77
1024, 1760, 1.72
2048, 3454, 1.69
4096, 6852, 1.67
8192, 13634, 1.66
16384, 27220, 1.66
128, 480, 3.75
256, 486, 1.90
512, 910, 1.78
1024, 1760, 1.72
2048, 3448, 1.68
4096, 6846, 1.67
8192, 13628, 1.66
16384, 27216, 1.66
128, 480, 3.75
256, 484, 1.89
512, 908, 1.77
1024, 1756, 1.71
2048, 3454, 1.69
4096, 6838, 1.67
8192, 13630, 1.66
16384, 27224, 1.66
128, 478, 3.73
256, 484, 1.89
512, 908, 1.77
1024, 1756, 1.71
2048, 3456, 1.69
4096, 6850, 1.67
8192, 13638, 1.66
16384, 27238, 1.66
128, 482, 3.77
256, 484, 1.89
512, 908, 1.77
1024, 1754, 1.71
2048, 3456, 1.69
4096, 6842, 1.67
8192, 13638, 1.66
16384, 27220, 1.66
