128, 758, 5.92
256, 760, 2.97
512, 752, 1.47
1024, 1452, 1.42
2048, 2860, 1.40
4096, 5660, 1.38
8192, 11258, 1.37
16384, 22502, 1.37
128, 762, 5.95
256, 764, 2.98
512, 766, 1.50
1024, 1460, 1.43
2048, 2868, 1.40
4096, 5660, 1.38
8192, 11286, 1.38
16384, 22478, 1.37
128, 766, 5.98
256, 764, 2.98
512, 752, 1.47
1024, 1454, 1.42
2048, 2862, 1.40
4096, 5668, 1.38
8192, 11262, 1.37
16384, 22480, 1.37
128, 764, 5.97
256, 758, 2.96
512, 754, 1.47
1024, 1460, 1.43
2048, 2878, 1.41
4096, 5662, 1.38
8192, 11276, 1.38
16384, 22496, 1.37
128, 762, 5.95
256, 762, 2.98
512, 758, 1.48
1024, 1452, 1.42
2048, 2860, 1.40
4096, 5652, 1.38
8192, 11264, 1.38
16384, 22496, 1.37
128, 766, 5.98
256, 764, 2.98
512, 752, 1.47
1024, 1456, 1.42
2048, 2856, 1.39
4096, 5670, 1.38
8192, 11248, 1.37
16384, 22498, 1.37
128, 756, 5.91
256, 762, 2.98
512, 764, 1.49
1024, 1452, 1.42
2048, 2852, 1.39
4096, 5656, 1.38
8192, 11268, 1.38
16384, 22488, 1.37
128, 766, 5.98
256, 764, 2.98
512, 754, 1.47
1024, 1456, 1.42
2048, 2858, 1.40
4096, 5662, 1.38
8192, 11282, 1.38
16384, 22504, 1.37
128, 760, 5.94
256, 756, 2.95
512, 760, 1.48
1024, 1450, 1.42
2048, 2854, 1.39
4096, 5658, 1.38
8192, 11268, 1.38
16384, 22498, 1.37
128, 754, 5.89
256, 764, 2.98
512, 762, 1.49
1024, 1452, 1.42
2048, 2846, 1.39
4096, 5660, 1.38
8192, 11248, 1.37
16384, 22508, 1.37
128, 762, 5.95
256, 764, 2.98
512, 756, 1.48
1024, 1450, 1.42
2048, 2856, 1.39
4096, 5674, 1.39
8192, 11274, 1.38
16384, 22524, 1.37
