128, 814, 6.36
256, 1570, 6.13
512, 3076, 6.01
1024, 6100, 5.96
2048, 12180, 5.95
4096, 24282, 5.93
8192, 48406, 5.91
16384, 96764, 5.91
128, 812, 6.34
256, 1572, 6.14
512, 3080, 6.02
1024, 6094, 5.95
2048, 12174, 5.94
4096, 24266, 5.92
8192, 48448, 5.91
16384, 96804, 5.91
128, 816, 6.38
256, 1564, 6.11
512, 3074, 6.00
1024, 6100, 5.96
2048, 12156, 5.94
4096, 24258, 5.92
8192, 48436, 5.91
16384, 96772, 5.91
128, 810, 6.33
256, 1566, 6.12
512, 3076, 6.01
1024, 6112, 5.97
2048, 12182, 5.95
4096, 24274, 5.93
8192, 48454, 5.91
16384, 96814, 5.91
128, 812, 6.34
256, 1566, 6.12
512, 3078, 6.01
1024, 6102, 5.96
2048, 12160, 5.94
4096, 24256, 5.92
8192, 48416, 5.91
16384, 96824, 5.91
128, 810, 6.33
256, 1568, 6.12
512, 3082, 6.02
1024, 6094, 5.95
2048, 12188, 5.95
4096, 24256, 5.92
8192, 48410, 5.91
16384, 96728, 5.90
128, 812, 6.34
256, 1564, 6.11
512, 3082, 6.02
1024, 6106, 5.96
2048, 12174, 5.94
4096, 24250, 5.92
8192, 48448, 5.91
16384, 96760, 5.91
128, 812, 6.34
256, 1566, 6.12
512, 3080, 6.02
1024, 6096, 5.95
2048, 12172, 5.94
4096, 24278, 5.93
8192, 48432, 5.91
16384, 96784, 5.91
128, 812, 6.34
256, 1570, 6.13
512, 3080, 6.02
1024, 6094, 5.95
2048, 12180, 5.95
4096, 24260, 5.92
8192, 48436, 5.91
16384, 96738, 5.90
128, 814, 6.36
256, 1570, 6.13
512, 3080, 6.02
1024, 6100, 5.96
2048, 12162, 5.94
4096, 24256, 5.92
8192, 48430, 5.91
16384, 96760, 5.91
128, 814, 6.36
256, 1566, 6.12
512, 3076, 6.01
1024, 6100, 5.96
2048, 12158, 5.94
4096, 24254, 5.92
8192, 48442, 5.91
16384, 96824, 5.91
