128, 1110, 8.67
256, 1114, 4.35
512, 1806, 3.53
1024, 3182, 3.11
2048, 5948, 2.90
4096, 11446, 2.79
8192, 22484, 2.74
16384, 44532, 2.72
128, 1108, 8.66
256, 1110, 4.34
512, 1800, 3.52
1024, 3182, 3.11
2048, 5944, 2.90
4096, 11452, 2.80
8192, 22506, 2.75
16384, 44540, 2.72
128, 1110, 8.67
256, 1116, 4.36
512, 1806, 3.53
1024, 3182, 3.11
2048, 5944, 2.90
4096, 11462, 2.80
8192, 22498, 2.75
16384, 44544, 2.72
128, 1106, 8.64
256, 1116, 4.36
512, 1802, 3.52
1024, 3184, 3.11
2048, 5942, 2.90
4096, 11466, 2.80
8192, 22496, 2.75
16384, 44550, 2.72
128, 1114, 8.70
256, 1116, 4.36
512, 1808, 3.53
1024, 3184, 3.11
2048, 5934, 2.90
4096, 11468, 2.80
8192, 22490, 2.75
16384, 44524, 2.72
128, 1108, 8.66
256, 1112, 4.34
512, 1802, 3.52
1024, 3192, 3.12
2048, 5942, 2.90
4096, 11444, 2.79
8192, 22470, 2.74
16384, 44536, 2.72
128, 1114, 8.70
256, 1114, 4.35
512, 1802, 3.52
1024, 3188, 3.11
2048, 5948, 2.90
4096, 11446, 2.79
8192, 22482, 2.74
16384, 44550, 2.72
128, 1112, 8.69
256, 1108, 4.33
512, 1800, 3.52
1024, 3184, 3.11
2048, 5940, 2.90
4096, 11456, 2.80
8192, 22512, 2.75
16384, 44528, 2.72
128, 1114, 8.70
256, 1118, 4.37
512, 1808, 3.53
1024, 3188, 3.11
2048, 5948, 2.90
4096, 11452, 2.80
8192, 22522, 2.75
16384, 44568, 2.72
128, 1112, 8.69
256, 1116, 4.36
512, 1804, 3.52
1024, 3184, 3.11
2048, 5942, 2.90
4096, 11446, 2.79
8192, 22478, 2.74
16384, 44520, 2.72
128, 1106, 8.64
256, 1112, 4.34
512, 1808, 3.53
1024, 3194, 3.12
2048, 5934, 2.90
4096, 11454, 2.80
8192, 22502, 2.75
16384, 44564, 2.72
