128, 1116, 8.72
256, 1122, 4.38
512, 1120, 2.19
1024, 1820, 1.78
2048, 3216, 1.57
4096, 6004, 1.47
8192, 11576, 1.41
16384, 22746, 1.39
128, 1124, 8.78
256, 1120, 4.38
512, 1126, 2.20
1024, 1820, 1.78
2048, 3212, 1.57
4096, 5998, 1.46
8192, 11570, 1.41
16384, 22750, 1.39
128, 1118, 8.73
256, 1126, 4.40
512, 1122, 2.19
1024, 1824, 1.78
2048, 3212, 1.57
4096, 5996, 1.46
8192, 11576, 1.41
16384, 22750, 1.39
128, 1122, 8.77
256, 1126, 4.40
512, 1120, 2.19
1024, 1820, 1.78
2048, 3218, 1.57
4096, 6002, 1.47
8192, 11586, 1.41
16384, 22734, 1.39
128, 1124, 8.78
256, 1118, 4.37
512, 1126, 2.20
1024, 1820, 1.78
2048, 3214, 1.57
4096, 6004, 1.47
8192, 11584, 1.41
16384, 22740, 1.39
128, 1120, 8.75
256, 1126, 4.40
512, 1120, 2.19
1024, 1822, 1.78
2048, 3210, 1.57
4096, 6004, 1.47
8192, 11572, 1.41
16384, 22742, 1.39
128, 1122, 8.77
256, 1120, 4.38
512, 1116, 2.18
1024, 1816, 1.77
2048, 3210, 1.57
4096, 6000, 1.46
8192, 11574, 1.41
16384, 22750, 1.39
128, 1122, 8.77
256, 1118, 4.37
512, 1118, 2.18
1024, 1822, 1.78
2048, 3206, 1.57
4096, 6008, 1.47
8192, 11576, 1.41
16384, 22732, 1.39
128, 1122, 8.77
256, 1120, 4.38
512, 1128, 2.20
1024, 1820, 1.78
2048, 3210, 1.57
4096, 6004, 1.47
8192, 11576, 1.41
16384, 22742, 1.39
128, 1124, 8.78
256, 1122, 4.38
512, 1124, 2.20
1024, 1820, 1.78
2048, 3212, 1.57
4096, 5998, 1.46
8192, 11582, 1.41
16384, 22730, 1.39
128, 1118, 8.73
256, 1128, 4.41
512, 1126, 2.20
1024, 1826, 1.78
2048, 3210, 1.57
4096, 5998, 1.46
8192, 11574, 1.41
16384, 22736, 1.39
