128, 1114, 8.70
256, 1122, 4.38
512, 1120, 2.19
1024, 1820, 1.78
2048, 3224, 1.57
4096, 6040, 1.47
8192, 11658, 1.42
16384, 22900, 1.40
128, 1116, 8.72
256, 1120, 4.38
512, 1120, 2.19
1024, 1822, 1.78
2048, 3224, 1.57
4096, 6040, 1.47
8192, 11662, 1.42
16384, 22912, 1.40
128, 1116, 8.72
256, 1116, 4.36
512, 1122, 2.19
1024, 1826, 1.78
2048, 3230, 1.58
4096, 6034, 1.47
8192, 11646, 1.42
16384, 22918, 1.40
128, 1118, 8.73
256, 1114, 4.35
512, 1128, 2.20
1024, 1828, 1.79
2048, 3224, 1.57
4096, 6036, 1.47
8192, 11652, 1.42
16384, 22910, 1.40
128, 1116, 8.72
256, 1122, 4.38
512, 1120, 2.19
1024, 1818, 1.78
2048, 3226, 1.58
4096, 6036, 1.47
8192, 11658, 1.42
16384, 22912, 1.40
128, 1114, 8.70
256, 1114, 4.35
512, 1120, 2.19
1024, 1820, 1.78
2048, 3232, 1.58
4096, 6034, 1.47
8192, 11676, 1.43
16384, 22920, 1.40
128, 1122, 8.77
256, 1114, 4.35
512, 1120, 2.19
1024, 1822, 1.78
2048, 3230, 1.58
4096, 6038, 1.47
8192, 11670, 1.42
16384, 22902, 1.40
128, 1116, 8.72
256, 1118, 4.37
512, 1120, 2.19
1024, 1822, 1.78
2048, 3220, 1.57
4096, 6038, 1.47
8192, 11658, 1.42
16384, 22898, 1.40
128, 1116, 8.72
256, 1126, 4.40
512, 1126, 2.20
1024, 1820, 1.78
2048, 3228, 1.58
4096, 6032, 1.47
8192, 11666, 1.42
16384, 22914, 1.40
128, 1122, 8.77
256, 1114, 4.35
512, 1126, 2.20
1024, 1822, 1.78
2048, 3230, 1.58
4096, 6038, 1.47
8192, 11650, 1.42
16384, 22916, 1.40
128, 1114, 8.70
256, 1118, 4.37
512, 1120, 2.19
1024, 1822, 1.78
2048, 3224, 1.57
4096, 6046, 1.48
8192, 11656, 1.42
16384, 22906, 1.40
