128, 1106, 8.64
256, 1116, 4.36
512, 1808, 3.53
1024, 3190, 3.12
2048, 5950, 2.91
4096, 11482, 2.80
8192, 22550, 2.75
16384, 44682, 2.73
128, 1106, 8.64
256, 1112, 4.34
512, 1804, 3.52
1024, 3180, 3.11
2048, 5944, 2.90
4096, 11482, 2.80
8192, 22558, 2.75
16384, 44676, 2.73
128, 1110, 8.67
256, 1108, 4.33
512, 1798, 3.51
1024, 3184, 3.11
2048, 5952, 2.91
4096, 11480, 2.80
8192, 22544, 2.75
16384, 44678, 2.73
128, 1110, 8.67
256, 1106, 4.32
512, 1804, 3.52
1024, 3182, 3.11
2048, 5950, 2.91
4096, 11482, 2.80
8192, 22562, 2.75
16384, 44668, 2.73
128, 1114, 8.70
256, 1112, 4.34
512, 1806, 3.53
1024, 3190, 3.12
2048, 5948, 2.90
4096, 11478, 2.80
8192, 22558, 2.75
16384, 44672, 2.73
128, 1108, 8.66
256, 1110, 4.34
512, 1808, 3.53
1024, 3190, 3.12
2048, 5952, 2.91
4096, 11476, 2.80
8192, 22544, 2.75
16384, 44666, 2.73
128, 1104, 8.62
256, 1100, 4.30
512, 1804, 3.52
1024, 3188, 3.11
2048, 5944, 2.90
4096, 11468, 2.80
8192, 22544, 2.75
16384, 44676, 2.73
128, 1108, 8.66
256, 1116, 4.36
512, 1798, 3.51
1024, 3182, 3.11
2048, 5942, 2.90
4096, 11480, 2.80
8192, 22554, 2.75
16384, 44674, 2.73
128, 1116, 8.72
256, 1106, 4.32
512, 1796, 3.51
1024, 3192, 3.12
2048, 5950, 2.91
4096, 11480, 2.80
8192, 22564, 2.75
16384, 44682, 2.73
128, 1114, 8.70
256, 1114, 4.35
512, 1802, 3.52
1024, 3188, 3.11
2048, 5954, 2.91
4096, 11480, 2.80
8192, 22552, 2.75
16384, 44676, 2.73
128, 1108, 8.66
256, 1108, 4.33
512, 1800, 3.52
1024, 3184, 3.11
2048, 5952, 2.91
4096, 11482, 2.80
8192, 22554, 2.75
16384, 44676, 2.73
