128, 1164, 9.09
256, 1916, 7.48
512, 3402, 6.64
1024, 6402, 6.25
2048, 12434, 6.07
4096, 24368, 5.95
8192, 48374, 5.91
16384, 96286, 5.88
128, 1168, 9.12
256, 1916, 7.48
512, 3402, 6.64
1024, 6402, 6.25
2048, 12430, 6.07
4096, 24410, 5.96
8192, 48450, 5.91
16384, 96292, 5.88
128, 1164, 9.09
256, 1914, 7.48
512, 3410, 6.66
1024, 6412, 6.26
2048, 12440, 6.07
4096, 24390, 5.95
8192, 48366, 5.90
16384, 96334, 5.88
128, 1158, 9.05
256, 1916, 7.48
512, 3400, 6.64
1024, 6402, 6.25
2048, 12438, 6.07
4096, 24382, 5.95
8192, 48364, 5.90
16384, 96314, 5.88
128, 1166, 9.11
256, 1914, 7.48
512, 3414, 6.67
1024, 6410, 6.26
2048, 12426, 6.07
4096, 24448, 5.97
8192, 48376, 5.91
16384, 96274, 5.88
128, 1162, 9.08
256, 1916, 7.48
512, 3408, 6.66
1024, 6412, 6.26
2048, 12430, 6.07
4096, 24382, 5.95
8192, 48414, 5.91
16384, 96282, 5.88
128, 1160, 9.06
256, 1914, 7.48
512, 3408, 6.66
1024, 6404, 6.25
2048, 12414, 6.06
4096, 24434, 5.97
8192, 48314, 5.90
16384, 96268, 5.88
128, 1166, 9.11
256, 1914, 7.48
512, 3408, 6.66
1024, 6406, 6.26
2048, 12438, 6.07
4096, 24392, 5.96
8192, 48394, 5.91
16384, 96322, 5.88
128, 1162, 9.08
256, 1912, 7.47
512, 3416, 6.67
1024, 6408, 6.26
2048, 12434, 6.07
4096, 24442, 5.97
8192, 48384, 5.91
16384, 96350, 5.88
128, 1162, 9.08
256, 1912, 7.47
512, 3414, 6.67
1024, 6400, 6.25
2048, 12422, 6.07
4096, 24418, 5.96
8192, 48372, 5.90
16384, 96216, 5.87
128, 1166, 9.11
256, 1914, 7.48
512, 3416, 6.67
1024, 6408, 6.26
2048, 12424, 6.07
4096, 24430, 5.96
8192, 48318, 5.90
16384, 96296, 5.88
