128, 1164, 9.09
256, 1920, 7.50
512, 3430, 6.70
1024, 6442, 6.29
2048, 12492, 6.10
4096, 24580, 6.00
8192, 48684, 5.94
16384, 96936, 5.92
128, 1170, 9.14
256, 1922, 7.51
512, 3428, 6.70
1024, 6444, 6.29
2048, 12500, 6.10
4096, 24582, 6.00
8192, 48694, 5.94
16384, 96932, 5.92
128, 1172, 9.16
256, 1922, 7.51
512, 3430, 6.70
1024, 6448, 6.30
2048, 12494, 6.10
4096, 24570, 6.00
8192, 48720, 5.95
16384, 96952, 5.92
128, 1172, 9.16
256, 1918, 7.49
512, 3428, 6.70
1024, 6442, 6.29
2048, 12494, 6.10
4096, 24568, 6.00
8192, 48686, 5.94
16384, 96922, 5.92
128, 1170, 9.14
256, 1920, 7.50
512, 3428, 6.70
1024, 6440, 6.29
2048, 12500, 6.10
4096, 24578, 6.00
8192, 48710, 5.95
16384, 96950, 5.92
128, 1166, 9.11
256, 1920, 7.50
512, 3428, 6.70
1024, 6446, 6.29
2048, 12508, 6.11
4096, 24580, 6.00
8192, 48696, 5.94
16384, 96934, 5.92
128, 1166, 9.11
256, 1924, 7.52
512, 3428, 6.70
1024, 6448, 6.30
2048, 12494, 6.10
4096, 24576, 6.00
8192, 48682, 5.94
16384, 96954, 5.92
128, 1172, 9.16
256, 1924, 7.52
512, 3428, 6.70
1024, 6442, 6.29
2048, 12500, 6.10
4096, 24568, 6.00
8192, 48714, 5.95
16384, 96942, 5.92
128, 1168, 9.12
256, 1918, 7.49
512, 3430, 6.70
1024, 6446, 6.29
2048, 12508, 6.11
4096, 24564, 6.00
8192, 48696, 5.94
16384, 96954, 5.92
128, 1172, 9.16
256, 1922, 7.51
512, 3428, 6.70
1024, 6442, 6.29
2048, 12504, 6.11
4096, 24570, 6.00
8192, 48704, 5.95
16384, 96936, 5.92
128, 1168, 9.12
256, 1916, 7.48
512, 3426, 6.69
1024, 6444, 6.29
2048, 12490, 6.10
4096, 24572, 6.00
8192, 48692, 5.94
16384, 96948, 5.92
