128, 128, 1232, 9.62
128, 256, 2382, 9.30
128, 512, 4670, 9.12
128, 1024, 9240, 9.02
128, 2048, 18440, 9.00
128, 4096, 35640, 8.70
128, 8192, 70044, 8.55
128, 16384, 138728, 8.47
256, 128, 2362, 18.45
256, 256, 3510, 13.71
256, 512, 5798, 11.32
256, 1024, 10370, 10.13
256, 2048, 19578, 9.56
256, 4096, 36776, 8.98
256, 8192, 71156, 8.69
256, 16384, 139924, 8.54
512, 128, 4634, 36.20
512, 256, 5784, 22.59
512, 512, 8076, 15.77
512, 1024, 12642, 12.35
512, 2048, 21838, 10.66
512, 4096, 39046, 9.53
512, 8192, 73450, 8.97
512, 16384, 142140, 8.68
1024, 128, 9190, 71.80
1024, 256, 10328, 40.34
1024, 512, 12616, 24.64
1024, 1024, 17196, 16.79
1024, 2048, 26380, 12.88
1024, 4096, 43576, 10.64
1024, 8192, 77966, 9.52
1024, 16384, 146668, 8.95
128, 128, 1236, 9.66
128, 256, 2382, 9.30
128, 512, 4666, 9.11
128, 1024, 9254, 9.04
128, 2048, 18452, 9.01
128, 4096, 35628, 8.70
128, 8192, 70056, 8.55
128, 16384, 138758, 8.47
256, 128, 2362, 18.45
256, 256, 3512, 13.72
256, 512, 5798, 11.32
256, 1024, 10376, 10.13
256, 2048, 19574, 9.56
256, 4096, 36780, 8.98
256, 8192, 71164, 8.69
256, 16384, 139932, 8.54
512, 128, 4634, 36.20
512, 256, 5780, 22.58
512, 512, 8066, 15.75
512, 1024, 12650, 12.35
512, 2048, 21848, 10.67
512, 4096, 39074, 9.54
512, 8192, 73438, 8.96
512, 16384, 142168, 8.68
1024, 128, 9176, 71.69
1024, 256, 10330, 40.35
1024, 512, 12620, 24.65
1024, 1024, 17196, 16.79
1024, 2048, 26362, 12.87
1024, 4096, 43574, 10.64
1024, 8192, 77962, 9.52
1024, 16384, 146694, 8.95
128, 128, 1230, 9.61
128, 256, 2378, 9.29
128, 512, 4668, 9.12
128, 1024, 9248, 9.03
128, 2048, 18452, 9.01
128, 4096, 35682, 8.71
128, 8192, 70016, 8.55
128, 16384, 138732, 8.47
256, 128, 2362, 18.45
256, 256, 3514, 13.73
256, 512, 5794, 11.32
256, 1024, 10382, 10.14
256, 2048, 19548, 9.54
256, 4096, 36784, 8.98
256, 8192, 71184, 8.69
256, 16384, 139948, 8.54
512, 128, 4636, 36.22
512, 256, 5782, 22.59
512, 512, 8062, 15.75
512, 1024, 12664, 12.37
512, 2048, 21820, 10.65
512, 4096, 39054, 9.53
512, 8192, 73422, 8.96
512, 16384, 142132, 8.68
1024, 128, 9180, 71.72
1024, 256, 10324, 40.33
1024, 512, 12614, 24.64
1024, 1024, 17190, 16.79
1024, 2048, 26400, 12.89
1024, 4096, 43572, 10.64
1024, 8192, 77982, 9.52
1024, 16384, 146694, 8.95
128, 128, 1234, 9.64
128, 256, 2378, 9.29
128, 512, 4666, 9.11
128, 1024, 9244, 9.03
128, 2048, 18434, 9.00
128, 4096, 35656, 8.71
128, 8192, 70032, 8.55
128, 16384, 138794, 8.47
256, 128, 2362, 18.45
256, 256, 3512, 13.72
256, 512, 5796, 11.32
256, 1024, 10384, 10.14
256, 2048, 19564, 9.55
256, 4096, 36776, 8.98
256, 8192, 71176, 8.69
256, 16384, 140024, 8.55
512, 128, 4636, 36.22
512, 256, 5784, 22.59
512, 512, 8074, 15.77
512, 1024, 12654, 12.36
512, 2048, 21828, 10.66
512, 4096, 39036, 9.53
512, 8192, 73424, 8.96
512, 16384, 142218, 8.68
1024, 128, 9176, 71.69
1024, 256, 10338, 40.38
1024, 512, 12618, 24.64
1024, 1024, 17204, 16.80
1024, 2048, 26382, 12.88
1024, 4096, 43584, 10.64
1024, 8192, 77980, 9.52
1024, 16384, 146794, 8.96
128, 128, 1234, 9.64
128, 256, 2380, 9.30
128, 512, 4664, 9.11
128, 1024, 9246, 9.03
128, 2048, 18448, 9.01
128, 4096, 35628, 8.70
128, 8192, 70046, 8.55
128, 16384, 138846, 8.47
256, 128, 2362, 18.45
256, 256, 3512, 13.72
256, 512, 5798, 11.32
256, 1024, 10382, 10.14
256, 2048, 19574, 9.56
256, 4096, 36768, 8.98
256, 8192, 71214, 8.69
256, 16384, 139968, 8.54
512, 128, 4634, 36.20
512, 256, 5788, 22.61
512, 512, 8070, 15.76
512, 1024, 12650, 12.35
512, 2048, 21820, 10.65
512, 4096, 39058, 9.54
512, 8192, 73406, 8.96
512, 16384, 142200, 8.68
1024, 128, 9178, 71.70
1024, 256, 10330, 40.35
1024, 512, 12606, 24.62
1024, 1024, 17224, 16.82
1024, 2048, 26384, 12.88
1024, 4096, 43628, 10.65
1024, 8192, 77996, 9.52
1024, 16384, 146674, 8.95
128, 128, 1236, 9.66
128, 256, 2374, 9.27
128, 512, 4670, 9.12
128, 1024, 9238, 9.02
128, 2048, 18446, 9.01
128, 4096, 35634, 8.70
128, 8192, 70030, 8.55
128, 16384, 138760, 8.47
256, 128, 2362, 18.45
256, 256, 3512, 13.72
256, 512, 5804, 11.34
256, 1024, 10380, 10.14
256, 2048, 19562, 9.55
256, 4096, 36794, 8.98
256, 8192, 71180, 8.69
256, 16384, 139922, 8.54
512, 128, 4630, 36.17
512, 256, 5780, 22.58
512, 512, 8064, 15.75
512, 1024, 12646, 12.35
512, 2048, 21830, 10.66
512, 4096, 39048, 9.53
512, 8192, 73410, 8.96
512, 16384, 142200, 8.68
1024, 128, 9186, 71.77
1024, 256, 10324, 40.33
1024, 512, 12618, 24.64
1024, 1024, 17198, 16.79
1024, 2048, 26374, 12.88
1024, 4096, 43572, 10.64
1024, 8192, 77962, 9.52
1024, 16384, 146764, 8.96
128, 128, 1230, 9.61
128, 256, 2378, 9.29
128, 512, 4660, 9.10
